PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,video_id
0.2578976,0.50681907,0.09494796,0.43248305,0.21955357,0.18797131,0.4384785,0.21084303,nrtp5Un53Ec
0.0490711,0.33773413,0.10892494,0.48953676,0.2979581,0.26711,0.59214586,0.12749287,-cmpnyOF2ls
0.10047288,0.3907424,0.22952124,0.4670716,0.2857368,0.29663274,0.008940975,0.19332285,af22qZotvRc
0.07203764,0.41018584,0.4945446,0.48564875,0.64898735,0.28525916,0.29039326,0.19632326,0OpLATU_Xus
0.040826887,0.18261543,0.04783881,0.07190545,0.063297,0.048892256,0.27509278,0.040540993,DW1Nt2I6zxU
0.047757283,0.23239219,0.28517663,0.1564246,0.5670571,0.09849225,0.19620073,0.22044505,HkjS0aHws-c
0.1992186,0.43417135,0.048525527,0.5922021,0.0844723,0.26769328,0.18996401,0.17519692,MhseaklyVFw
0.15887307,0.33400708,0.21804169,0.27526858,0.1431865,0.11352625,0.3387724,0.16562942,Xg9xh9DkVV8
0.089333855,0.31953496,0.35336453,0.22564934,0.07714214,0.092889525,0.20268257,0.0805396,NCcLwvYHZ-w
0.027077425,0.20683606,0.024833864,0.087553285,0.042487487,0.028564068,0.22433765,0.024635172,jGmC1JhY5g0
0.046216816,0.33884823,0.024147147,0.25158864,0.04736557,0.06306462,0.26155406,0.029348165,J4b7mTvea2M
0.30886728,0.33084467,0.36944604,0.78980285,0.44650018,0.76387215,0.5680319,0.31140527,UbddRsXtcao
0.020515852,0.3170258,0.022945397,0.098419644,0.20500596,0.059442833,0.45199716,0.029616322,d4CONzdYxCg
0.05080318,0.1746069,0.089577995,0.07578374,0.0266976,0.035088006,0.24783117,0.03710987,XwA28NTC5oc
0.043135934,0.31650442,0.14193995,0.18154512,0.12682907,0.13543946,0.19267404,0.078422725,76Yy3mKDBR8
0.045849316,0.26452976,0.08290337,0.06434472,0.09940821,0.043368287,0.34792915,0.036603343,-6WM6-UatDI
0.1332851,0.47330648,0.1539292,0.29833612,0.06314133,0.08445347,0.26075882,0.0704255,jfyAl4de-To
0.44181463,0.55684435,0.0753116,0.48473555,0.2396315,0.21437036,0.37195438,0.307485,5Em2Sx3PMYA
0.047452793,0.44861495,0.5535644,0.6179595,0.6948072,0.41929471,0.085938886,0.22375835,uhkkL136KpU
0.05667619,0.22319129,0.03616466,0.18434921,0.050451722,0.098061845,0.1205191,0.045374207,SIGvs7avNYA
0.10618212,0.4642248,0.089041,0.51844764,0.118965805,0.2921578,0.124487996,0.121688165,8Sy-ghUvKdE
0.107857145,0.31233743,0.07451247,0.22529988,0.07608593,0.09117485,0.2488175,0.074481465,Cz-revNIid8
0.11737412,0.2916274,0.1835188,0.18455923,0.14723141,0.114277825,0.39009193,0.11431781,8UGn9OVniJk
0.5153542,0.36672723,0.090114996,0.14610553,0.21106721,0.15216431,0.42359096,0.21921071,cBLYlosOPX0
0.23435247,0.34924304,0.10634898,0.20628569,0.14944695,0.15959628,0.44939786,0.15242492,OOr0zyvctkw
0.031964008,0.17699568,0.09494796,0.08210346,0.044317164,0.0658542,0.27022278,0.03243871,cgI5CcfXtk4
0.16178623,0.3277701,0.355017,0.51187855,0.17269436,0.13599227,0.37714857,0.15912154,AiY73Tfu_L8
0.10562362,0.25570384,0.05253629,0.16946094,0.2944036,0.20213705,0.15477724,0.13497646,HIpCRBbB5OY
0.045433767,0.17096394,0.029984225,0.07397358,0.06642844,0.0676533,0.093924135,0.061294865,dy_B2Mf7BKU
0.7407407,0.5790471,0.2286382,0.2690238,0.26640642,0.18888354,0.19948766,0.37097803,GpbfhqreKoI
0.20117046,0.48083404,0.14283726,0.606086,0.1417101,0.40035075,0.07675777,0.19774082,KjKgMcaUVSo
0.098346025,0.39711338,0.1668969,0.101939104,0.108191215,0.083324514,0.4052234,0.09386396,OvwhLbSZf18
0.035173845,0.2165828,0.018464668,0.07784589,0.058644284,0.0470141,0.17678711,0.043342493,vnlVk-6ZhrQ
0.16758724,0.4167882,0.08170467,0.25777254,0.22975412,0.22103874,0.061028857,0.20418051,aEesCR7a-88
0.08016547,0.33646196,0.15276173,0.6010192,0.21775323,0.2949631,0.27309296,0.11880715,5Dx_pJezTSg
0.03743299,0.35233715,0.082104236,0.09315786,0.06800353,0.088175826,0.37486055,0.026210345,fhyFKibtGyY
0.04382972,0.25056314,0.02792408,0.09128,0.039529055,0.04770439,0.35113868,0.027793527,QMaRDr13Zjc
0.12825006,0.50654465,0.36805952,0.5495699,0.28655317,0.5148082,0.5423059,0.13293369,CbVGsSJ15EQ
0.087302856,0.2944999,0.11085691,0.14258273,0.044798955,0.033796836,0.48461136,0.045140456,8QhPr7I0PBQ
0.15703592,0.47499958,0.020269485,0.22414225,0.051237848,0.08392167,0.12233243,0.068109125,M9JohoyLZ9s
0.10134015,0.42491326,0.19862764,0.35117495,0.12831844,0.23022798,0.073605485,0.08932872,yyML-esBU3w
0.14190282,0.39576685,0.3123962,0.35814396,0.20034093,0.19380294,0.11259443,0.21856928,pp3id4ccTfw
0.07119445,0.317512,0.048868883,0.1245622,0.097923934,0.12286097,0.30618346,0.084558755,L99NF3Y9Pbk
0.0423978,0.26080543,0.1785852,0.07527261,0.052115228,0.061695453,0.3171024,0.048316047,cro2_DWWats
0.08655276,0.2614086,0.09065199,0.14248358,0.077098206,0.08785389,0.38936442,0.0859944,z801vFbuZNc
0.090577625,0.205259,0.089041,0.18316025,0.24330474,0.21378416,0.30197573,0.16000372,ziRsDJ01G_k
0.03335486,0.2221229,0.06132676,0.14965554,0.061141793,0.05559177,0.30504194,0.05118666,Sznp7J-dfJY
0.035387874,0.22084588,0.09494796,0.033252597,0.014467282,0.025911486,0.18126391,0.018353082,5p-x99gnGwU
0.08085704,0.28600726,0.09709594,0.28597555,0.12788004,0.11814754,0.4440127,0.14842194,o5MNSTY8HpY
0.032840043,0.26624766,0.19789414,0.06605189,0.084463924,0.08504518,0.43784055,0.042992786,Br3AdnMyJNc
0.075289726,0.28229275,0.119872786,0.13753542,0.09554157,0.107909195,0.3995708,0.080931045,YbeiS3GpNMo
0.0420466,0.22234659,0.08290337,0.101790056,0.060042016,0.0885913,0.45097902,0.05191675,yJ2M-68AL1A
0.08602788,0.44445,0.040284947,0.09709591,0.04782162,0.046133883,0.40238243,0.03248176,432K0I4FkHc
0.15722549,0.30904472,0.23891698,0.20570241,0.13928047,0.28731585,0.4981706,0.12975147,Jx3Dbynu_f0
0.17257984,0.39305037,0.059328925,0.16224,0.11069022,0.095991746,0.20211715,0.13873498,JCeCn-uHhlA
0.03875377,0.24571352,0.09118898,0.14272444,0.15145686,0.12978168,0.1907231,0.058589544,-7FZSs6DR9Q
0.12549569,0.4208506,0.094410956,0.20434168,0.15299885,0.26894966,0.585566,0.14757709,-0kmjwYd3Ug
0.15563448,0.3223737,0.19789414,0.20534746,0.24438749,0.189707,0.18489517,0.16352612,D2EWMxI4ebY
0.03132201,0.21906711,0.12760067,0.06945791,0.0122338,0.0050793868,0.3465398,0.008958518,5znOAnJQv7c
0.050617244,0.32036576,0.2712817,0.26795292,0.18067032,0.28972524,0.1633893,0.08310586,I3nSurT1ZAM
0.039148193,0.2769765,0.20449556,0.3450278,0.039011944,0.12018407,0.012942011,0.03811905,gSo9LS-jbQ0
0.11775388,0.4973338,0.0495556,0.33703643,0.20217319,0.48037565,0.10184963,0.11058491,pO-ecdoEt70
