PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_PROFANITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.062075216,0.14473382,0.105704986,0.056684166,0.04747849,0.06011498,0.1043477,0.35140973,yErAaK501r8
0.08518676,0.071835876,0.025520578,0.06051542,0.07205194,0.0667006,0.09882565,0.20822701,P7vC2xpqvFk
0.10287093,0.032921933,0.048868883,0.054950576,0.07995191,0.16206942,0.10685747,0.32885754,JXYIELml2b4
0.056915056,0.111687325,0.059328925,0.04324591,0.06040218,0.06664228,0.09627615,0.20621125,2NXNambbsfY
0.062075216,0.14473382,0.105704986,0.056684166,0.04747849,0.06011498,0.1043477,0.35140973,Wtx-mScEWL8
0.057961307,0.12613933,0.09978092,0.051512856,0.07645683,0.08034893,0.10056785,0.23770444,zchACRCAahk
0.102421254,0.06801714,0.04818217,0.087310486,0.093295686,0.070035,0.12996842,0.21579513,VKGw9wltsds
0.062075216,0.14473382,0.105704986,0.056684166,0.04747849,0.06011498,0.1043477,0.35140973,Z1ckyvMx2jI
0.13282436,0.05842961,0.019436494,0.06129347,0.09258327,0.05282529,0.13880648,0.28158796,zoIUNKddI18
0.79918975,0.06587864,0.23803931,0.37247646,0.45444474,0.40677178,0.7501007,0.5727251,1dxDpuCiWQo
0.108582444,0.07334794,0.0813051,0.077117,0.09184752,0.0808839,0.121581845,0.23803376,tVRv9vQctYM
0.026252117,0.076022215,0.062925026,0.045761805,0.10253346,0.19156827,0.04330173,0.33509007,oaO0UyBGvD8
0.1358556,0.014636618,0.00930175,0.110620715,0.12931913,0.15069316,0.23128505,0.43945798,1-DTDLh8JvQ
0.22112949,0.015394699,0.008677006,0.21058603,0.1727299,0.06944906,0.23135452,0.19340065,Aorf_vMiWMc
0.058540735,0.13568786,0.0717155,0.05833065,0.04669641,0.053317394,0.09982071,0.35304403,l7W4NCINlR0
0.061501153,0.13268511,0.022213135,0.0581703,0.0674467,0.06497957,0.16069609,0.24901381,jQganzHTMBM
0.1911337,0.07302104,0.14104263,0.14140487,0.14414367,0.04566771,0.72861165,0.23070411,ng2pwzkrAHA
0.058540735,0.13568786,0.0717155,0.05833065,0.04669641,0.053317394,0.09982071,0.35304403,2ld1gU_SQQs
0.5107156,0.055807654,0.04406188,0.20504855,0.2226683,0.18430914,0.28409654,0.40184975,36VfZyam5eQ
0.050832883,0.06832528,0.0019089412,0.044453368,0.04211385,0.04911969,0.120303154,0.37495422,aGXb6ZtKaeg
0.195827,0.036927134,0.02397547,0.077673554,0.09876895,0.06660368,0.2722034,0.4069894,ycmEHIkTtHE
0.041322213,0.23856297,0.03444787,0.06796952,0.026101716,0.039927106,0.071647875,0.32206103,MRO_CM5zX-Q
0.11998806,0.09539259,0.089577995,0.14338988,0.12082456,0.0818636,0.13998555,0.2581678,UbjiWVOidm8
0.09956176,0.08070959,0.057331093,0.058799878,0.050663862,0.0467134,0.10948785,0.21872076,R2MVOJ97uF0
0.07811618,0.07257641,0.03753809,0.042293206,0.071338885,0.09612273,0.4781848,0.40222743,l28yHl577qY
0.2025718,0.038988624,0.05253629,0.18943489,0.28991932,0.22473723,0.30514035,0.3507937,Lh8wp2ntbZs
0.103537895,0.04764552,0.0729142,0.096473224,0.1178649,0.11032693,0.13744053,0.25793585,12p5mluGuYs
0.06373281,0.025891885,0.026207292,0.032656807,0.06023,0.078456126,0.29030022,0.30600417,DVH8B0ET3KE
0.09475268,0.06900501,0.065721996,0.07158142,0.08348483,0.07257771,0.13236012,0.20973009,NrN6BiEvpZM
0.035510883,0.016849242,0.013883209,0.020964295,0.027768841,0.052978348,0.048640057,0.34996256,qSSF3SrR5G8
0.68836683,0.12799212,0.024662184,0.2521251,0.28157756,0.30266187,0.36106607,0.4465009,-ZOqUoE0Nyw
0.013618983,0.05365989,0.024833864,0.014008926,0.025154753,0.042290762,0.04259084,0.22223903,sYQ6lmxkBzY
0.11318645,0.009234136,0.016521018,0.059791956,0.09134726,0.12981348,0.17328098,0.37153038,kvPQxD7X5LI
0.5262113,0.03247948,0.083939545,0.1774965,0.21453433,0.15014054,0.51512223,0.41661215,iPg0eD2sQkw
0.12860163,0.06961338,0.022213135,0.13562873,0.077374235,0.08933643,0.16983196,0.35038966,84Sn87txzdg
0.05856614,0.06004888,0.02262963,0.06813932,0.04550207,0.051170867,0.11126759,0.37190244,RVeNLrHoWMg
0.12075442,0.06749664,0.027580723,0.042598292,0.069789514,0.09316133,0.111481965,0.4061831,avybPsagN_E
0.1964101,0.06440755,0.058130227,0.1769961,0.16754569,0.1262125,0.14863755,0.37998462,IG-zk2Q-dfA
0.16667956,0.046413843,0.08635602,0.14543824,0.17348446,0.15583842,0.17725874,0.86315256,kc6y2HGbAeg
0.03794755,0.0053315284,0.0033493242,0.013217924,0.02049829,0.041751765,0.2068918,0.2892611,wNO8IePnXSA
0.050463762,0.06854222,0.05613239,0.04291772,0.05469345,0.062450346,0.08926393,0.22361654,ISffM81xi80
