PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,video_id
0.104076885,0.1459697,0.11111205,0.4183097,0.24664861,0.22598018,0.1496827,0.5081578,z24lEWn7Gnc
0.055732824,0.036860473,0.08947375,0.23275042,0.029569875,0.12573968,0.27749297,0.12770803,3erTarnxm94
0.08330294,0.114437595,0.2192516,0.3470292,0.053344186,0.2266702,0.177351,0.46152213,nS_8yhLpvkU
0.20596254,0.091361694,0.17847428,0.21449797,0.01614573,0.29732725,0.5680319,0.6250076,4EKACxqLe2A
0.059728492,0.057758037,0.06642451,0.2156424,0.045751054,0.06381479,0.12874195,0.2979337,1RvtAwuXlJA
0.28683078,0.13240832,0.21619159,0.38440427,0.104182,0.3906449,0.18027098,0.45037732,pM8luxFmrXk
0.032902762,0.0951591,0.081202745,0.31000185,0.12823153,0.10230376,0.20365153,0.29801926,oeTqwx4Z85c
0.0765103,0.048431665,0.0896415,0.2772838,0.041704953,0.17319287,0.3547733,0.32644162,gC3FaMxL8Pw
0.016173938,0.027708484,0.0333126,0.19839403,0.02311722,0.036982853,0.09250908,0.11898224,OFUn9JQNc7Q
0.058130227,0.035652068,0.049047414,0.21318725,0.027836062,0.10612372,0.5361381,0.20951182,Dm-F5wN2RwM
0.112788886,0.14374863,0.15343821,0.4108487,0.15196745,0.34747085,0.32572302,0.46113217,3iJR7uZJsAU
0.038911518,0.13311353,0.120485276,0.32923967,0.119447514,0.4285258,0.4213471,0.71481717,FJOfQnS7vPs
0.18549223,0.12236085,0.24669828,0.541226,0.13254261,0.3190885,0.27656204,0.61308354,HHSCsol9e6A
0.05653196,0.057130203,0.037286744,0.39010775,0.11087213,0.08990926,0.3321931,0.3032458,x1ICADQX9hk
