PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.0457513,0.028543685,0.025454137,0.014160873,0.037875384,0.021646034,0.07322085,0.23293844,TGTmQ-mHP5A
0.023681583,0.17041738,0.019787122,0.048525527,0.03086281,0.015142744,0.09003841,0.16757841,bOpZOI3gofI
0.021869853,0.0783127,0.017562633,0.052935857,0.022028444,0.023981478,0.08399252,0.21565148,oLzo_wZTry0
0.12169491,0.08896876,0.14189379,0.11729682,0.1508827,0.11507349,0.4364604,0.33650306,C9hMg7B8qxE
0.17534216,0.44070265,0.14899328,0.20009461,0.28130573,0.0514686,0.14768471,0.18443084,-utAf88FCXM
0.057520702,0.33804446,0.08689092,0.2590451,0.13005358,0.04094815,0.10320869,0.23321451,sflhHsIPrrc
0.027345836,0.041515153,0.03593615,0.017562259,0.098464526,0.017314948,0.07573595,0.18439141,zamx07xXuXM
0.115083896,0.021449434,0.039367568,0.025692256,0.0526573,0.051548183,0.1783471,0.5530639,buhNp-8To2Y
0.03135853,0.08001236,0.020647872,0.014993866,0.036108598,0.02046267,0.06690514,0.14792064,x8EMmqO9Fzs
0.04318354,0.13613771,0.073163986,0.09387396,0.03857548,0.042066228,0.2814678,0.2030487,jb6lvEUYijM
0.021534923,0.059073824,0.035078008,0.035306264,0.040856283,0.02252776,0.055437803,0.16074592,G7KSwpYmeYU
0.049964484,0.14375722,0.042455297,0.229845,0.09864929,0.043396384,0.091778256,0.32016093,zqiNxwyiAAQ
0.08230688,0.19697525,0.06862472,0.08555053,0.10057913,0.04686298,0.1693236,0.26499033,so_3Otlc9KY
0.070221595,0.0636754,0.05339491,0.1334155,0.057735175,0.0898519,0.08803824,0.31786725,4QKIQNLB_mw
0.054393306,0.029024338,0.055147357,0.02792408,0.03229706,0.0817765,0.23255832,0.27226567,8XUxcrDB9Jc
0.05444608,0.14803405,0.037083127,0.03994159,0.067923024,0.027861733,0.12647392,0.21635932,PYbeO7ZiXvs
