PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.13694772,0.40294206,0.17852731,0.20302857,0.29282507,0.13559496,0.29307118,0.25470307,f8HeR2ARKBY
0.18490541,0.15385456,0.13778684,0.052136723,0.17252144,0.066489376,0.4644692,0.35470945,coL1uedveZE
0.05701377,0.39076403,0.060171593,0.09333697,0.16854817,0.0643359,0.20505542,0.14593725,z-SffJkUt_U
0.1057737,0.46551612,0.08448493,0.13476147,0.16294499,0.06410188,0.23393987,0.27100602,uF6B5ar4FgI
0.1868243,0.19828142,0.23694232,0.35756677,0.46913046,0.29300648,0.39980304,0.5605842,xUt2I75wQEk
0.16954859,0.2672771,0.2210218,0.19789414,0.49312338,0.30236176,0.4706473,0.6115561,oCya-XjjBsc
0.14775711,0.353696,0.15475607,0.119872786,0.2965053,0.12440833,0.23722412,0.2255292,nP9ynWoT1QY
0.15662651,0.44551077,0.15455566,0.1530536,0.18916124,0.08386112,0.31312916,0.20981857,dQTnV0E91fY
0.14077364,0.47428253,0.17572007,0.12180476,0.38933834,0.19222373,0.2902895,0.44426197,DYwPwRpXtWU
0.06396467,0.472841,0.10855989,0.09816993,0.29108727,0.1401267,0.2998818,0.2691969,f0tN_AA0EKw
0.15336208,0.4406268,0.122848764,0.08689302,0.25301722,0.123405814,0.3602705,0.2507539,i2PJNfOFNLk
0.10284008,0.42972714,0.112380944,0.112788886,0.28568044,0.124085836,0.27024537,0.37392983,KajzZPKPsrY
0.11013114,0.27341366,0.12626547,0.12824467,0.2179925,0.09390729,0.28809255,0.377671,k5LO_b3k6a8
0.10552643,0.5751138,0.08035765,0.15130237,0.19425665,0.10506279,0.27357474,0.12723157,IpIUklDBLHE
0.08913906,0.558267,0.0673884,0.14508054,0.15848753,0.051289532,0.28658852,0.33375576,_CwGy392gFE
0.04454098,0.3484655,0.054657247,0.05493369,0.12800153,0.044574887,0.18255582,0.07478704,4xfFUgVK5AY
0.13705692,0.7279288,0.112250224,0.14956708,0.21742241,0.0887082,0.40866894,0.29656398,nY3CuLwGUx0
0.06246558,0.3879644,0.05001814,0.119872786,0.16014235,0.062334184,0.28736177,0.13383605,8u2en1Fwwas
0.15694693,0.38539398,0.19334061,0.12760067,0.22547662,0.09805433,0.3420147,0.2617594,qeT8-V3wrgs
0.07645721,0.4846533,0.06717719,0.09816993,0.14630081,0.04879034,0.2240133,0.1838291,eBzt6vhseww
