PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.12706412,0.33235717,0.16126974,0.09709594,0.19287923,0.17879736,0.29059413,0.092182115,kzNfHalWGBk
0.20164242,0.4045709,0.14855398,0.24991328,0.26539046,0.37347806,0.14576986,0.18582281,C6aeL83z_9Y
0.31337628,0.31278154,0.32808107,0.38261065,0.26768383,0.26373383,0.46110517,0.20107491,MT0je2KBNCo
0.31183556,0.33119264,0.1082071,0.007566349,0.022059496,0.08724848,0.22177508,0.156103,9QWD59PUt0k
0.16476646,0.4356862,0.12235591,0.04131502,0.18130687,0.4203932,0.12084253,0.1330149,NNQLJcJEzv0
0.18185315,0.4534587,0.09858052,0.062125895,0.1684393,0.26558426,0.18455712,0.16159672,mIhpcH3-gHo
0.18658401,0.44604397,0.11044241,0.024833864,0.013522754,0.43347126,0.077201046,0.22605883,p88wT0jYyt8
0.11000271,0.34836006,0.042648874,0.016382186,0.19327694,0.1944032,0.036666524,0.26130494,_pqsfDCqUug
0.11821793,0.32470673,0.068334885,0.09655894,0.26720923,0.14031889,0.08936318,0.13133334,RX1BeDEcfaY
0.17563573,0.32841185,0.24463286,0.22422299,0.649439,0.14044803,0.57369816,0.114364624,4h2-KIQIOvU
0.088223435,0.33054748,0.040265128,0.012078391,0.1870471,0.11034655,0.06343501,0.094091915,Fk8Skx4xUDo
0.12744614,0.38837218,0.12239442,0.12631269,0.34850872,0.22760847,0.08851719,0.2182511,I3JF74EA7VI
0.37120667,0.18782096,0.16200717,0.43451136,0.5860908,0.118361086,0.64273894,0.13372675,wDtt24RxdLk
0.16419715,0.37902635,0.11847689,0.0717155,0.188103,0.14837123,0.176083,0.18187128,NQ14YZg7yUo
0.12603536,0.35731113,0.18246375,0.049212243,0.076642945,0.29588252,0.11147074,0.093065396,T5x7lyWPnX8
0.1525527,0.21808822,0.1275907,0.31671798,0.4484259,0.15312901,0.14570068,0.11266347,q_XhJ180Etc
0.16438651,0.5587143,0.22371076,0.036679696,0.085470885,0.5265129,0.20077877,0.14742775,VVhCcgnqmwM
0.102768995,0.32754278,0.050869104,0.10300289,0.13937037,0.092732675,0.102622576,0.113701634,dLYPcn1FVtU
0.24329202,0.41607466,0.08600039,0.039598234,0.030283988,0.20077376,0.13784072,0.19189975,0gbP5L8879k
0.13036226,0.5251524,0.16225657,0.09279997,0.0053839604,0.36224952,0.109358676,0.19006068,qHcXkb7NDno
0.25596184,0.32267618,0.1627851,0.15451296,0.14880171,0.24970672,0.21793567,0.20957293,-o2xPaGiT7w
0.09092175,0.38051224,0.072656505,0.008225801,0.10225303,0.28571984,0.045246713,0.1332966,tjvnxYoT5Tc
0.04154264,0.31944352,0.021609979,0.026035614,0.19710468,0.05448048,0.02031505,0.09442616,eDd8AxKZsNY
0.18480426,0.33367836,0.1430053,0.16344422,0.27572128,0.45137608,0.11165524,0.21956484,_VfAU5I1oGw
0.23941992,0.49583262,0.25006735,0.10634898,0.14867438,0.5641455,0.24974556,0.18017165,GpkXwiHa7Es
0.085503444,0.40879586,0.060971033,0.03839648,0.25523183,0.11623372,0.15904109,0.09206206,QPhFQhVymv4
0.3119198,0.32384124,0.29230878,0.41950125,0.3166994,0.20665474,0.5301342,0.20079409,rDrppEZm6Gw
0.3314705,0.36079586,0.44305474,0.38953075,0.2940435,0.2682872,0.68487567,0.0895647,EpNYn-l2ap8
0.19493027,0.5246479,0.35999283,0.087430015,0.02930506,0.58413136,0.17932703,0.24104714,FzLwoDBQsUI
0.69309914,0.57003933,0.4763163,0.53430706,0.6676365,0.45886362,0.5843888,0.27938086,AxiI0vJPgUw
0.268362,0.36424604,0.18944824,0.12824467,0.27715954,0.53396064,0.29893276,0.28202373,ZBgEoxD2nEE
0.2967924,0.35558128,0.15607192,0.015063282,0.029307513,0.475605,0.1844,0.20633851,kbfz7gTaQvg
0.14052074,0.24189702,0.12349145,0.05093802,0.28049418,0.4288096,0.14179304,0.12715119,bBKUU2_0uh4
0.5603847,0.621057,0.4947689,0.21036349,0.12988745,0.8763936,0.59785944,0.7407407,NhHGcUaDKiA
0.07779006,0.25866792,0.0696143,0.094410956,0.26514497,0.14579612,0.050870255,0.10709198,sG_v4bb2e4k
0.29726863,0.36153105,0.39154872,0.50272423,0.18090884,0.35528126,0.46898428,0.13468674,8KRBTfYG3Ic
0.12117061,0.3571559,0.10870582,0.013258465,0.19489369,0.29989824,0.08999145,0.16695516,iYmpYJ_C5ng
0.21483809,0.4929256,0.2953219,0.37083253,0.24031739,0.59799945,0.21341486,0.22400379,D-t_yPrzff4
0.5090524,0.24210261,0.38036227,0.31693128,0.24237481,0.2165243,0.715084,0.14742929,_noey_NmZV0
0.2551105,0.5097922,0.1420252,0.09065199,0.15916109,0.24413513,0.24106725,0.30254734,3J-p-ttmb8c
0.055118505,0.5355314,0.07338024,0.02193547,0.07710828,0.11802421,0.081018254,0.07121467,1ssuq7l6VDk
0.16083656,0.5066669,0.29009554,0.118584804,0.41800094,0.34822303,0.169548,0.21748021,b4DbFSXRWAg
0.14426275,0.36606944,0.05441349,0.027409043,0.16901554,0.24500006,0.07967206,0.10411961,1tN2x1IFvnU
0.14718395,0.3308494,0.12691747,0.035306264,0.44980466,0.46335623,0.14247575,0.12900503,9E4tsoEIa_M
0.19544908,0.36438406,0.20101778,0.013466713,0.17124712,0.21441835,0.16852936,0.19206533,LLlU2LGqmKc
0.31652087,0.4089679,0.40857428,0.2712817,0.4373137,0.7537444,0.45567626,0.1829286,3ans63rSbJc
0.16024733,0.33888724,0.059878595,0.047495455,0.18582161,0.27608824,0.05534362,0.15559715,eHt7tiKu6Hg
0.107014954,0.4130584,0.13403273,0.015896274,0.04737514,0.14597592,0.11965375,0.12719196,MjsQMAd7_SA
0.17875348,0.3792023,0.06489492,0.02655065,0.1305228,0.15874799,0.084980056,0.158368,ZjArSQQg0UY
0.42897898,0.30385286,0.15892524,0.36944604,0.43703628,0.22263615,0.5711474,0.16391587,dgOGRVyO-TI
0.17764504,0.48384744,0.07706873,0.018742332,0.18266279,0.15604438,0.07649507,0.31010514,5wn5z5GyVUU
0.08457004,0.44601235,0.056500107,0.017631676,0.14738826,0.08415849,0.104997054,0.07315198,7OEhqIwJR18
0.10066906,0.28539988,0.11588228,0.06252546,0.1766363,0.16683303,0.13687827,0.10043448,Gjo1hlIey9g
0.13020518,0.35338902,0.07828246,0.07251463,0.09789688,0.25797847,0.1149187,0.14072777,fzH7Gjadmj0
0.12015484,0.2872936,0.10695381,0.1024659,0.37045413,0.13405792,0.1900581,0.1271052,omv2Q_PQUZk
0.12559521,0.61258984,0.06604256,0.20669603,0.2784484,0.16512418,0.10092637,0.18221541,Q1-ZUNMheAU
0.030886687,0.36757508,0.044308364,0.031357653,0.17839071,0.18246941,0.03387322,0.08169876,hKHVYm23JMc
0.11097641,0.2934345,0.06469218,0.15568043,0.22403231,0.39165857,0.06960574,0.117081486,Qzq6KW9dOQs
0.15394126,0.5100177,0.10022029,0.10031791,0.1281294,0.19845259,0.16583121,0.18530081,S9DaxBsuIAY
0.14731768,0.37742564,0.28679964,6.317945e-05,0.026463479,0.6291852,0.12481397,0.14689316,__eG_waPJ3Q
0.22993962,0.4770503,0.32641304,0.009093502,0.10559112,0.6078999,0.22058438,0.2738265,ajG66r2U_lc
0.14007822,0.33610687,0.12645918,0.13745339,0.27281037,0.32996297,0.1400565,0.09182718,nrdOPOhRcz8
