PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,video_id
0.05693759,0.0050326632,0.043712158,0.26326963,0.05465603,0.12898368,0.033434227,0.3808428,Vfwpzyev3tU
0.027779948,0.0033840323,0.022289017,0.23325513,0.020306243,0.08919257,0.01545141,0.11605793,weXXK4nLdNs
0.035503842,0.007739889,0.049798712,0.3239477,0.021317637,0.18828948,0.029784912,0.08180709,LSG8kVlbEvI
0.059594084,0.014091457,0.062038567,0.26006755,0.08208911,0.08417151,0.065875635,0.34937698,cHOZVNsyFmk
0.090481535,0.038224805,0.1703189,0.2795892,0.14001025,0.16494285,0.12217484,0.58111817,S4CjZ-OkGDs
0.10835461,0.015479778,0.06895341,0.27589786,0.10739239,0.075579226,0.10558504,0.39930478,7ShjUrcPBXM
0.18076736,0.014785618,0.06470374,0.6004338,0.055736993,0.022153623,0.04645233,0.17109564,f9PM8b8Dg0g
0.052030753,0.013258465,0.033151735,0.24238153,0.041702792,0.09198785,0.04090096,0.09453105,UGq1u5kunaY
0.03378145,0.008399341,0.04211266,0.2426708,0.03678237,0.116950095,0.048733205,0.09646304,C-PKa87_4hI
0.32238406,0.0005987134,0.23746529,0.38421002,0.21149668,0.18854694,0.16910896,0.5345252,E5zfL4ntIFM
0.074468896,0.013258465,0.077426426,0.27088666,0.076733604,0.053927924,0.06436802,0.27102822,6dG19vK_iRU
0.055201244,0.011661896,0.06776964,0.204785,0.07440788,0.021714222,0.058179434,0.23784222,b2HaSaLmo3s
0.034750804,0.0025857477,0.085757665,0.3234771,0.038607836,0.06510549,0.053451024,0.23551485,H17Ni6XFYR4
0.09701147,0.037023053,0.14310713,0.36713052,0.15159597,0.059826106,0.10250443,0.409769,teNomuiA8-k
0.07435719,0.014993866,0.067373514,0.21017514,0.08199996,0.07994116,0.058877226,0.24642749,xZs3FolkI-8
0.070772074,0.008642297,0.19031145,0.36768234,0.0629065,0.09744137,0.117286436,0.28719708,ebO38bbq0_4
0.08906246,0.0070804367,0.100931324,0.36399737,0.09685814,0.03684572,0.17371467,0.2632334,W_c6ntutPfs
0.10852674,0.028782474,0.052860085,0.31942844,0.09933406,0.06790609,0.05664446,0.29382908,UttB1VHXzug
0.1714508,0.022945397,0.13196619,0.30430582,0.20483422,0.117517054,0.13464399,0.32858133,JF1bVr4L8jE
0.0376739,0.012494888,0.031345844,0.24223514,0.026814785,0.074340515,0.034297287,0.05733764,PiHdCyYF26U
0.3097753,0.026035614,0.3137031,0.4465398,0.17068075,0.1706055,0.16149709,0.24171266,5FaVqpGXEhE
