PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.13655609,0.2144039,0.28769493,0.058305334,0.02756463,0.05855708,0.18590792,0.13959798,UViNKjhT5lI
0.1024659,0.12444386,0.12041818,0.06254201,0.06045651,0.086308956,0.17754482,0.21398926,Rjo8ev8Oi9Y
0.22333995,0.013069039,0.24974844,0.110770546,0.100759804,0.09978805,0.3100421,0.23938659,Qllbj_RR-n4
0.112788886,0.084058,0.13013645,0.05582478,0.07814122,0.0780272,0.16685171,0.15892212,Y7IpSoUXvmE
0.05773066,0.19260019,0.06754929,0.024407411,0.018703485,0.017045612,0.21014917,0.19502081,8zDp1JIX1_o
0.22978203,0.0814103,0.13057588,0.17644568,0.1290085,0.13179772,0.41908407,0.24249473,foxR7QLyZEA
0.09333697,0.520433,0.36153364,0.25849882,0.26357377,0.15136164,0.41287622,0.389802,IjPAyAyURDg
0.045778666,0.26757315,0.07133734,0.03980232,0.06925471,0.053855527,0.24590042,0.10228828,h2uJeXywJzw
0.09494796,0.27674672,0.12810549,0.09271343,0.1818301,0.10946805,0.47488326,0.23676686,n8K-y8WCTrk
0.043031808,0.1864252,0.08258894,0.047457293,0.054637633,0.04006744,0.28879353,0.09137483,DP9pQFnroLE
0.0681194,0.11938521,0.050347596,0.0193045,0.022559451,0.03243464,0.12584846,0.088844836,IVErp8s7Cak
0.05493369,0.19904202,0.119081706,0.046326283,0.03451548,0.04361103,0.1662738,0.10448892,7-yv-awl1ts
0.032559406,0.1944384,0.108407274,0.047179405,0.038311597,0.05951795,0.14576614,0.13227841,nHdKxRAVrHA
0.2008281,0.10325195,0.34950903,0.0978524,0.050469708,0.08122994,0.28601047,0.27242166,1rwomQMU008
0.1621016,0.019204477,0.4340973,0.20509803,0.23066485,0.21351416,0.48838252,0.49499798,T7S1QM7Bp1U
0.19338597,0.6597153,0.26620272,0.65670604,0.15159893,0.4723753,0.23974018,0.18321334,gPB4uI5r9SI
0.22157386,0.079305135,0.18951996,0.21464168,0.08988548,0.15267158,0.37533262,0.27830002,56xp3hwIh30
0.04818217,0.17822823,0.16680333,0.17297022,0.07064778,0.20534183,0.25386667,0.82345974,fG6KyTzZkEc
