PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,video_id
0.57093036,0.30053464,0.4638802,0.18837957,0.2500311,0.077567555,0.15777361,0.16704229,sHqiG_hrbsc
0.7441123,0.28825936,0.34714255,0.4071976,0.4962095,0.53824747,0.45738164,0.3559192,y46x2UnPGgo
0.6350989,0.2712817,0.5680319,0.29696742,0.36615846,0.16372953,0.3287009,0.30741242,jTmquAAj8Dw
0.28411916,0.0007635765,0.19380186,0.29068148,0.11834199,0.07977712,0.15182202,0.10165295,9_MU1I7xKyo
0.58021384,0.023803791,0.4554524,0.3850162,0.2512332,0.21194966,0.29734755,0.2295094,v_v_SIPgGag
0.3630796,0.36325815,0.74187696,0.36217993,0.2026291,0.5553717,0.30974653,0.15070327,xH1S9jgkHo8
0.57480264,0.317855,0.15842873,0.20497537,0.28621635,0.21864454,0.245887,0.23188624,0Ik_XG1Fj5k
0.63273364,0.18746567,0.5680319,0.2127875,0.30187532,0.39673755,0.24711108,0.30688384,HbQZ7jAvgoI
0.686968,0.40326482,0.4867392,0.46989346,0.3754303,0.25461656,0.37855196,0.2524817,6MYb0rBDYvs
0.14549273,0.09763293,0.32687217,0.34578258,0.090709984,0.16219221,0.27439627,0.08825946,StZIMue2bFU
0.6350989,0.23014031,0.5085237,0.23294027,0.30158508,0.3450415,0.18507549,0.22706926,d04KTiB_Anw
0.64378136,0.42465788,0.18804695,0.3285373,0.29358682,0.38063046,0.3692569,0.23402877,k2WwkaDFWDE
0.6452175,0.2712817,0.3480491,0.2759286,0.2981328,0.24342234,0.20665275,0.2638554,437k3pwNNQc
0.69785655,0.3170379,0.3521078,0.29103196,0.48708355,0.30059445,0.13610752,0.117913604,Z4LteRu0_cA
0.68214583,0.4254099,0.4405931,0.35599366,0.35742778,0.3033734,0.2800186,0.21554174,NUm1OqJaZhQ
0.8008965,0.42631236,0.7722251,0.4845865,0.6828469,0.5506164,0.766073,0.5155518,zSQ3iuuDN5E
0.48630607,0.15859914,0.44008532,0.21204357,0.18635094,0.1068814,0.18500902,0.13639747,ihkEf1Tk1e4
0.7063096,0.18549223,0.4391218,0.32881552,0.29843462,0.45656225,0.23922388,0.21058756,nqW_YEPnYZg
0.3006704,0.17587385,0.3537475,0.27799112,0.11002261,0.23302726,0.21054852,0.115951054,uhTkjgoFtq8
0.6668788,0.30337667,0.2818709,0.48672658,0.31969044,0.5730955,0.3528615,0.2903717,mgw7M-JABMg
0.47428438,0.15071863,0.5970029,0.19636023,0.1395496,0.07298567,0.10171876,0.09705274,Sl4gM69bZUg
0.76578736,0.2224569,0.2704856,0.6944694,0.5177295,0.46628636,0.93873084,0.6543741,p6E5EYSXmDQ
0.15114054,0.23716165,0.7109792,0.36957425,0.085459486,0.24168105,0.37409252,0.0771049,usryT1v-EzQ
0.3908993,0.003141076,0.2757559,0.45413625,0.16238348,0.39019358,0.48593366,0.16859628,3EcuDfDjUd8
0.11290064,5.314666e-05,0.061817545,0.2560372,0.046214692,0.11277485,0.18915237,0.04949059,d4GnXTwEZJ4
0.6314062,0.008086969,0.27267137,0.31778938,0.29858303,0.36404642,0.26547867,0.2516656,t_sArut55nc
0.6834291,0.34388447,0.22430128,0.37464145,0.27085114,0.31412235,0.21581164,0.245033,LeKYxo8c8_I
0.8422688,0.1943727,0.23623839,0.49941218,0.5638627,0.61613834,0.42001423,0.3713338,eaXobQFxb84
0.39036533,0.029469188,0.45384276,0.23018996,0.16840358,0.07845223,0.1759843,0.1261998,FLr_W1DLduM
0.27105588,0.068918526,0.007268152,0.3920106,0.110550955,0.07589428,0.10447373,0.09312659,URz-RYEOaig
0.63110435,0.39230084,0.53723913,0.41727594,0.41898376,0.42830798,0.5290792,0.41345176,YgQy70_LPS4
0.48824015,0.11407687,0.4651431,0.27882376,0.2033637,0.1054864,0.24529195,0.17228699,IdjdNgvF42o
0.31074288,0.29045674,0.4676615,0.30267113,0.15861556,0.22390656,0.24036883,0.11906936,gUl-WHAL9qo
0.8422688,0.36944604,0.8129767,0.33822596,0.660731,0.29359457,0.40501195,0.43960005,W2a94gTP8Lc
0.34790412,0.2286382,0.33576062,0.311329,0.22279757,0.39236534,0.28042188,0.15728627,d1RjxEBWqLA
0.77328813,0.24769363,0.48883775,0.32149294,0.4598769,0.2923044,0.50275034,0.3489263,RVtnsNDXuaY
0.43989193,0.39421332,0.35271144,0.8981763,0.29127035,0.45297372,0.7407407,0.43509927,Jeb6Pf-DTq4
0.6350989,0.2965773,0.48190868,0.21473834,0.31339753,0.17606486,0.18784891,0.20422441,vrs8Ljv9J6s
0.32055134,0.06252546,0.265392,0.5583479,0.15394583,0.5486121,0.24672048,0.20514017,lrYx7HaUlMY
0.68060285,0.42631236,0.6295808,0.35452262,0.37263602,0.19521263,0.3362074,0.27393165,XYBx__4iAUw
