PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.49403617,0.2964998,0.44374353,0.2604059,0.37221906,0.27375346,0.26950002,0.15293115,Dgq7TPZ6wH4
0.6424927,0.22585924,0.6041897,0.29836452,0.014438537,0.07419169,0.23664851,0.30284894,BhVYcO4tO30
0.27817562,0.10291359,0.10284157,0.11627948,0.038224805,0.2672746,0.085880615,0.07587315,-5KPfJ1Oj04
0.29899016,0.20086144,0.39368698,0.15307142,0.020130653,0.21119927,0.14173809,0.1343912,9QAeqh3kSa4
0.47699964,0.07723321,0.18582962,0.09696942,0.0067680646,0.3399911,0.06584212,0.084823824,pE2r_6-E7QA
0.27317992,0.10332806,0.14246756,0.09996543,0.004546751,0.13766143,0.09172736,0.08643701,vXrtOxO8j4A
0.30529955,0.0020231288,0.006658998,0.023474842,0.0045120427,0.06605404,0.0016934532,0.0005308998,NmcoQFuBJGg
0.3290379,0.09232981,0.17424071,0.10751549,0.010551238,0.058284834,0.05661802,0.058843616,RAqMxbHUlHg
0.38898307,0.07455398,0.1751742,0.07331858,0.02397547,0.04140719,0.06854099,0.063187584,fwDvRKq6X-c
0.38733685,0.24062172,0.40226817,0.21468216,0.17518331,0.19324961,0.12732978,0.13536298,ghNKMMl_2iQ
0.29028752,0.1328685,0.27516147,0.11990806,0.03856816,0.30357066,0.12937342,0.082943246,CgcfgnV7QLo
0.3412682,0.1349184,0.11723502,0.11160389,0.053335425,0.00803988,0.109467275,0.12005669,tF930nPZxxw
0.34910673,0.060800906,0.26902503,0.08450558,0.0012234577,0.19327365,0.062471267,0.04080131,8O-IODLU5pc
0.3226881,0.10699428,0.31179458,0.13964209,0.014855034,0.11363256,0.0659902,0.13845417,FLIVOu7LkZs
0.43981436,0.08769444,0.30643678,0.09264671,0.059728492,0.4983534,0.1067342,0.12715447,haRWvj3V1yA
0.3822606,0.06633617,0.37527415,0.07815103,0.010273575,0.26597425,0.056327254,0.08643075,85W2b1BTEc4
0.32781425,0.014035852,0.10863119,0.02669904,0.0041129007,0.100521095,0.011006157,0.017506823,jV7-EYA0MGo
0.47244102,0.11039532,0.2590777,0.1607545,0.040971663,0.10786721,0.1093013,0.11180335,slgl-MZwK7U
0.33561748,0.049442653,0.103311725,0.059294753,0.013536129,0.08811137,0.047615424,0.08252448,RPqFQgvsOx4
0.4461431,0.09963993,0.7601203,0.06497972,0.11085691,0.08718781,0.15037099,0.23858404,2RLI90ZbwPk
0.25979415,0.124210365,0.4462891,0.088852435,0.0100653265,0.285072,0.11793632,0.12080207,Hzb4PpfrOZE
0.5917125,0.120602764,0.21179058,0.20740166,0.013119632,0.18179052,0.07655241,0.0818097,SQNcq5cetuY
0.30342403,0.046199646,0.2871492,0.06681275,0.0057615316,0.1776292,0.021068694,0.027163636,4M6fW1ElZwQ
0.27785745,0.057949726,0.06422611,0.045641717,0.012356056,0.46404675,0.07216946,0.04351093,wK092Jb092E
0.33700225,0.23467946,0.4849867,0.16565548,0.039254878,0.2180933,0.21950947,0.20288435,I7aHnR3aZuo
0.36411315,0.07998684,0.32547542,0.06956759,0.004373211,0.045564447,0.072109826,0.06571054,SUSillmduSE
