PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,video_id
0.06260367,0.0168681,0.05354424,0.028641118,0.083031945,0.07096277,0.33192825,0.02802524,5scez5dqtAc
0.12991819,0.33600304,0.04070859,0.09798018,0.095309064,0.13868928,0.31111708,0.066419795,vyWe0VgRaRQ
0.03272076,0.022074303,0.027953358,0.03016759,0.09503791,0.061353832,0.14915971,0.036544368,_XpVcXO3sYU
0.22720094,0.17759849,0.07593374,0.11609559,0.4261911,0.22525658,0.36442006,0.10856213,TEYnn4KRMdE
0.0724862,0.021518974,0.071784556,0.063919775,0.19534834,0.13842939,0.19437079,0.09264512,fZd2am2RS9g
0.08533454,0.043031808,0.022390272,0.039189722,0.15130207,0.039020885,0.2356495,0.016190842,0KztdvTaPss
0.05665667,0.13521013,0.035943665,0.09049903,0.14246444,0.111610964,0.2082221,0.036852043,0sdqNR_s6LQ
0.39189252,0.03204437,0.19196595,0.2560028,0.18550329,0.70495564,0.55018955,0.18647127,9A7_xCrgX1U
0.096480556,0.03358948,0.07621166,0.08938785,0.33628514,0.49035,0.31256303,0.13352199,eRJA3TgoVm0
0.021050092,0.052136723,0.01993463,0.029454961,0.16423644,0.22075024,0.21168512,0.018361406,zQFxs8gATsY
0.11112938,0.014716201,0.056825485,0.08044037,0.31910393,0.09198366,0.22644249,0.060595892,2CQvBGSiDvw
0.11665635,0.039598234,0.055361997,0.05324155,0.07098761,0.38870576,0.31217557,0.062008813,FO46sPwm4xk
0.21744367,0.09655894,0.043741886,0.11377592,0.06024552,0.31338212,0.30153763,0.07221021,vdJmyhqElTc
0.06960852,0.01561861,0.039045535,0.04280532,0.0986651,0.061089396,0.15677308,0.04842481,lhkgmKXOM1A
0.11600148,0.026894007,0.03197116,0.051696215,0.15209702,0.39172488,0.3169765,0.053038675,8Rvl6z80baI
