PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,video_id
0.13325582,0.11865429,0.390621,0.10531514,0.09677283,0.018048171,0.12967047,0.38752306,MidztvoJtAQ
0.07811078,0.07365797,0.28664166,0.12157373,0.09097543,0.018187003,0.16441867,0.11362848,B94U9n4aanw
0.11661637,0.11044764,0.37241587,0.24857776,0.08805371,0.02637897,0.16484706,0.26111397,_f0a9-uVQFk
0.08758485,0.12830004,0.33025613,0.12624002,0.1728922,0.025520578,0.15165341,0.2936577,AxWQQ5up2UU
0.373432,0.16870409,0.46891615,0.009893436,0.13163085,0.010620655,0.14004268,0.33440042,QhcDkbWxDug
0.12280381,0.08050669,0.2760015,0.13517986,0.05068742,0.012564304,0.06585695,0.22345486,ricaXDjrbZo
0.2242962,0.15633366,0.4505292,0.15833862,0.07938386,0.014091457,0.10129169,0.43404526,1c8mLA1YdP0
0.12277306,0.11829484,0.30806583,0.17593835,0.12934294,0.014299706,0.12288144,0.20139174,_WM4FtLxl20
0.15527833,0.1301634,0.34873745,0.020666072,0.1484286,0.018742332,0.17363936,0.3268195,QMoqF6_oPgQ
0.06333548,0.06485588,0.2658385,0.061566543,0.034660332,0.008815838,0.05009116,0.2791408,jEm1QEy51lI
0.11372747,0.070005,0.2844913,0.17478214,0.05116407,0.02193547,0.09834661,0.14192128,QSRH7z64-8s
0.066739604,0.016953286,0.43420354,0.092631795,0.017058406,0.016035106,0.015834972,0.077153936,4uwYGLlBcOA
0.05668679,0.06718782,0.23680931,0.18599676,0.09627875,0.0224908,0.16503224,0.11499186,2ueVw83Plec
0.045126908,0.036246102,0.29168168,0.067109264,0.028689245,0.005865656,0.04910964,0.1615758,nFmkTxI66hc
0.12572908,0.11668591,0.37417978,0.07174888,0.10062127,0.040284947,0.20111692,0.28282496,-q6i_2xUvP0
0.070332386,0.035307016,0.3919377,0.03955795,0.012962378,0.0041302545,0.03066592,0.223517,Njucn01wv10
0.056052472,0.06963451,0.25284114,0.16795225,0.10499119,0.010273575,0.11429458,0.29823545,NKb-JvOBLmk
0.12786552,0.17162646,0.4497994,0.0470993,0.09797193,0.0068721883,0.15379448,0.3612504,RRT5GsCmqXY
0.025336118,0.025817553,0.24657147,0.21552238,0.048998713,0.0069068964,0.056913354,0.08947543,nEEet610I9Y
0.09110451,0.046970516,0.34135625,0.19354099,0.05369142,0.009648831,0.08355764,0.09983539,TlRpkNyVfZY
0.09785955,0.14392969,0.3606993,0.16451949,0.116266176,0.014646785,0.15618856,0.6633632,u_uNeSVtNlk
0.109338805,0.11279487,0.43819085,0.0046353065,0.15447655,0.11536485,0.109664395,0.26659417,RVVJYYHOXGE
0.21574883,0.15076111,0.24911912,0.046408292,0.106251776,0.0041996706,0.2660332,0.33770853,EeVb-lGxD_s
