PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.0759981,0.22786753,0.41429567,0.30053464,0.26501343,0.46784478,0.15764019,0.2583209,tbDTotvxpL4
0.4347453,0.61451125,0.6488997,0.12953265,0.28829286,0.439239,0.46072996,0.40406367,mHnNsGJdh7Q
0.08463492,0.21952893,0.030062243,0.08447654,0.05297737,0.1070452,0.13796574,0.058623116,LIaGA-77Cl0
0.09599172,0.23034112,0.042721305,0.055732824,0.048131034,0.06422552,0.1295021,0.07038753,peinGXjSO4I
0.05048964,0.3416112,0.030649431,0.062125895,0.029576829,0.079790406,0.083283104,0.031586435,he4YGWH3E10
0.061478656,0.21019885,0.036158618,0.090114996,0.03527572,0.12447542,0.06343741,0.05424071,bgUh1yTUeZw
0.4096076,0.5851425,0.09917037,0.16551583,0.094835155,0.16180567,0.2512941,0.16721046,kQCXo6rGI8o
0.020607334,0.13596635,0.03538877,0.0765103,0.025711007,0.31853837,0.0356354,0.026820784,uAekYuDHkms
0.04860964,0.3874159,0.0337256,0.1024659,0.025849624,0.12687926,0.067451805,0.025964322,bPEH4y1xC5A
0.043461055,0.29595223,0.028152797,0.2965773,0.030443521,0.18936223,0.099418744,0.031531908,hxPmISV7ACQ
0.06686349,0.4178454,0.07499992,0.12760067,0.035885412,0.09221314,0.095210776,0.045213845,xA-kc8rf2gE
0.044061463,0.20376779,0.028483115,0.10300289,0.02040822,0.1988664,0.043103386,0.033586644,HYhAOK_PJ0s
0.18499857,0.5561052,0.10533599,0.036851373,0.101355195,0.1623624,0.29354614,0.14068319,9Mg_wW8LE5Q
0.051946968,0.18625532,0.24186574,0.2712817,0.25844204,0.21174748,0.11073386,0.17283551,wODRsuNvpys
0.07855646,0.46364325,0.05947651,0.012494888,0.09582268,0.003885761,0.17380075,0.06861713,lgw3lsOYVxA
0.2450226,0.49973205,0.30451724,0.22422299,0.33449504,0.022575378,0.55571663,0.31226122,XzomlQPin5Y
0.05717935,0.35884127,0.061732233,0.0045120427,0.060470823,0.14897572,0.15024392,0.05779359,jP1wquJfYlc
0.09368575,0.3587533,0.08035232,0.119872786,0.060355358,0.08436593,0.12200166,0.0703549,jrJ3pff8D04
0.10339323,0.27565217,0.13422862,0.040628307,0.11133665,0.15477632,0.17582919,0.103548594,LCQCQrnPUc0
0.11710809,0.40215465,0.07701811,0.17661177,0.06631957,0.14216888,0.14917608,0.07864937,AhPlgAuQEfI
0.022600347,0.14640984,0.017276077,0.04818217,0.03833013,0.08411388,0.035705704,0.018082049,jaB1Jv5fiFQ
0.11159095,0.41988593,0.025474325,0.09118898,0.03729966,0.12486151,0.1151237,0.04227755,_6pdUxUxRt4
0.07467911,0.22816801,0.39414072,0.31661135,0.2631544,0.5680319,0.15523295,0.25107503,Kz5v5QH9CN0
0.045911603,0.35170949,0.045468707,0.012008976,0.045690186,0.1954496,0.10110794,0.037933987,WCIgqi4DQzI
0.47176942,0.6786043,0.17581667,0.040971663,0.15664123,0.069245085,0.26698545,0.25893417,1m0qQ2X3Mo4
0.05044088,0.2358674,0.06150886,0.038053125,0.06409992,0.4228289,0.17797427,0.04235774,9qhoVcNKNy0
0.1266689,0.44104606,0.37049702,0.3282253,0.17406501,0.7098238,0.23288772,0.1829926,d9vQVK0qq6M
0.30433473,0.55448616,0.35521886,0.20596254,0.3694529,0.47915858,0.45409188,0.27255392,XR2cUevXu88
0.2450274,0.5198029,0.07987867,0.09709594,0.110346794,0.0069575906,0.25640753,0.1353801,TDl5086xtpk
0.057370886,0.34298193,0.020380614,0.07730943,0.0342256,0.09556849,0.10828122,0.03343374,8ITEQ5aLkrE
0.12198913,0.3615673,0.06554725,0.085282035,0.097379856,0.14901702,0.2063475,0.06476594,N54CB1Rdkeo
0.097061396,0.27964115,0.030490078,0.0495556,0.055493936,0.1382752,0.15089862,0.050064877,5fYjCnzRLH4
0.05308978,0.29415545,0.029459558,0.0253489,0.021595586,0.17955838,0.08492515,0.026527422,pALkutZ82JE
0.12509468,0.3667916,0.08146551,0.020130653,0.106525816,0.053686563,0.15559387,0.06551026,T273uazr-AA
0.17764285,0.43213806,0.1028238,0.09655894,0.08427507,0.44772533,0.4784283,0.1405709,lCwKdYbPvho
0.12556453,0.3444329,0.049749274,0.13565879,0.06737456,0.11424151,0.123893745,0.063972674,dLJ0EmNKeUM
0.17408717,0.35800728,0.29637402,0.20522906,0.16361344,0.049270824,0.2970537,0.2429514,xHtZ5-8GPaQ
0.16141164,0.44043007,0.09381159,0.070516795,0.11817529,0.20592327,0.29597202,0.09004319,DvhgOiC5ntE
0.06371333,0.33128622,0.0870288,0.085282035,0.0693255,0.23244052,0.17677565,0.054191,1xBEKlbJ7Qs
0.14832443,0.37842265,0.10741515,0.13251819,0.20848359,0.43706772,0.60940605,0.11459807,WR_s52zF6Fk
0.16065216,0.2200214,0.23173417,0.34388447,0.17208616,0.22175501,0.23725116,0.25676107,pFpLKwslvFU
0.2213671,0.49950108,0.11398431,0.112144895,0.085943006,0.340168,0.28044993,0.12459017,2M_s5jms1f0
0.22815914,0.5868514,0.15683801,0.058130227,0.25085506,0.070178956,0.40247732,0.19282097,4vMNUT7To9k
0.07700057,0.29669225,0.05073599,0.26132804,0.1582901,0.061968498,0.26970452,0.061999634,CjG90KNab2s
0.38040906,0.54381907,0.43269932,0.27856,0.3539875,0.18404086,0.54967076,0.38691163,8P_GzTcsVh0
0.06411588,0.3320827,0.28645793,0.38261065,0.12091762,0.45278284,0.12152678,0.08747227,cNxBHBXCCFM
0.085670225,0.26175562,0.036355063,0.08796701,0.032361716,0.17424761,0.10099865,0.06286177,mWBPaPDft18
0.07052618,0.19569789,0.29937422,0.24418297,0.27455312,0.20841458,0.13083996,0.25626862,rOWcW3AbF50
0.032028392,0.2687912,0.020779867,0.087430015,0.025289007,0.076363556,0.078342475,0.022059722,1v6s1JqzDDk
0.042954236,0.2757075,0.032020632,0.11536485,0.040717687,0.20928477,0.11824851,0.03167448,MjO7WEdl4Tk
0.17261492,0.41502336,0.059799746,0.027752401,0.09584446,0.185337,0.2270725,0.10378134,eo-hfihoaRw
0.04022831,0.20156002,0.016919157,0.038911518,0.017367827,0.29448846,0.06363337,0.029059725,Tf7HlmfQJdQ
0.045497715,0.33290267,0.052916054,0.040628307,0.0504538,0.19351967,0.116688356,0.03453287,2K859tW8jxY
0.035030264,0.42239952,0.052078187,0.038224805,0.099507816,0.1269794,0.16871965,0.03474791,h6epv1BfL-c
0.08264647,0.2504004,0.08942319,0.020269485,0.07584431,0.08263694,0.14065455,0.10185002,Fpnyx-HLHn8
0.055751003,0.2643111,0.10632516,0.13565879,0.06092673,0.2688588,0.10151289,0.077517815,M10F2or1zaA
0.11556947,0.34566316,0.1690236,0.22990009,0.22260278,0.49278077,0.28742284,0.11209886,2OfGdnNBzhA
0.07795183,0.36910784,0.12938865,0.10461388,0.09981726,0.07778996,0.20253031,0.10069351,F5QBgwmMPHM
0.1372724,0.39123285,0.3010942,0.31682462,0.15542622,0.06769389,0.8051086,0.2994365,FmYXsAp8Tu0
0.024303868,0.14964566,0.024398018,0.022213135,0.029268695,0.08844043,0.036484774,0.031665448,NYjkFeD5HWA
0.15947707,0.32733312,0.07246687,0.19789414,0.08071329,0.2052081,0.49527302,0.11098373,s93P3hktEG8
0.104308635,0.33752775,0.15006195,0.078108564,0.20360103,0.1939291,0.34807494,0.10572007,-WVLuMP9qv0
0.03336921,0.2798633,0.046711896,0.1539292,0.045151427,0.03802828,0.09147701,0.02960145,IXSFjCfhVfs
0.19291313,0.32321182,0.17121568,0.3093897,0.26058638,0.48077792,0.66556424,0.20354004,ApDpfqVINbc
0.2112553,0.41688612,0.25697032,0.023803791,0.4869689,0.04002812,0.7249426,0.3394325,Gd94h0gLSr4
0.1261283,0.33860078,0.08836362,0.00860759,0.09257073,0.067074746,0.2010472,0.10431273,HesUKwyP7Dc
0.38972372,0.38530198,0.18301152,0.112788886,0.25149518,0.17232046,0.38162088,0.29897276,P5vn5EsAuOs
0.15271068,0.3949896,0.31873354,0.38959074,0.15895884,0.5680319,0.20514023,0.2021862,YGxP7CShMaw
0.05058816,0.3547056,0.06875225,0.054534122,0.11087289,0.08912995,0.26135388,0.04338051,2MSROxKXIUo
0.047604498,0.1981739,0.050782118,0.031357653,0.06165095,0.17548138,0.11953228,0.055532,-LcdpQ2LLK0
0.13261886,0.24075638,0.071783036,0.076110736,0.13565955,0.44070286,0.5054658,0.13978198,0hVP-CJ1Spk
0.05050921,0.34263784,0.062296513,0.032902762,0.054932218,0.2191177,0.12915964,0.039736662,KtrC_hAg_xs
0.080088764,0.3904966,0.11085353,0.11665283,0.053771798,0.0071836603,0.15306108,0.0642308,lTLN9raIwfQ
0.09607964,0.2743079,0.08646608,1.3015509e-05,0.09412419,0.004990123,0.3891059,0.120818555,zKdOJg2iLbQ
0.03833439,0.30050403,0.05314513,0.11729682,0.05005955,0.33711237,0.3673063,0.04652042,UQOKTsuY2sc
0.028329678,0.2664679,0.04090787,0.04234509,0.02841468,0.32533622,0.0895914,0.026118742,DvsyigqsXr4
0.2804895,0.50283694,0.18880677,0.16413476,0.21421611,0.0923577,0.34865788,0.22462343,KTJoDkowoOw
0.21705572,0.36132413,0.4476129,0.11021292,0.15298666,0.4998216,0.21448532,0.29014274,ox57kej5lxg
0.33310837,0.94505495,0.08461013,0.045091953,0.1147303,0.050698496,0.2090061,0.14796293,lxK5nja7-vA
0.18789455,0.5232178,0.10845138,0.078108564,0.06748329,0.09554166,0.20742561,0.12743132,nwC_BbTrOqA
0.09602004,0.28306326,0.07839899,2.1421358e-05,0.09204637,0.028119892,0.3878575,0.117492944,-WXfmdh9whw
0.19336654,0.49934423,0.1738947,0.059728492,0.13321422,0.08906114,0.26525244,0.18381801,iDve1sNO72U
0.046044923,0.24210835,0.052800685,0.13386416,0.059021812,0.13651568,0.09203143,0.043603234,igLObL23EBU
0.25464606,0.43711397,0.24098581,0.15276173,0.32606047,0.26458648,0.23420778,0.19207133,lW7VOqIo33Y
0.04652328,0.33551386,0.022800185,0.2286382,0.029703593,0.19133079,0.105078585,0.028207563,Q2uKMU6Qaf8
0.14099751,0.34762293,0.2116871,0.007427517,0.1375085,0.09421615,0.1330471,0.14248884,N48j6aW384c
0.061548308,0.33301345,0.05327533,0.053335425,0.063117586,0.1287576,0.07231473,0.03634298,7rsoxZs_J74
0.19294581,0.35898328,0.660731,0.39206567,0.3883994,0.0020270895,0.5250166,0.50899017,eMgjTA11VVk
0.099830925,0.48430803,0.16079345,0.13296685,0.23208824,0.008279461,0.39334813,0.11592889,7cO55R-WPOw
0.050349288,0.21872517,0.061632648,0.14597784,0.05525398,0.19908632,0.14053753,0.048106372,XHT86A6IEjk
0.17224918,0.4008876,0.10926921,0.038911518,0.15695821,0.0738656,0.33846214,0.1731558,OvH33bgLGkA
0.04917093,0.27634624,0.0456636,0.1019289,0.050261263,0.11043585,0.14750415,0.040410064,X09yxFuKLAs
0.26287478,0.48727086,0.06412675,0.34466723,0.1370081,0.07668638,0.5060223,0.14343998,IibsgJJSt6E
0.191006,0.43531504,0.10827635,0.11343288,0.0867723,0.31019017,0.15102808,0.11904716,w26aQSbGR40
0.33223805,0.63453543,0.053501256,0.12051678,0.05418373,0.13668023,0.10601522,0.10030574,7IRBOR7rXiY
0.14127378,0.33061662,0.13104403,0.06652113,0.13864218,0.12777258,0.22005191,0.13037547,Rx-UYXyZDHs
0.07055754,0.20370786,0.13498662,0.15568043,0.21682994,0.100003116,0.1289731,0.14385927,cymOpgaRPWk
0.15497501,0.40888205,0.10501359,0.051737156,0.10446524,0.008221089,0.23907997,0.15447424,GaR4bV13wnY
0.041286908,0.27165264,0.032898992,0.035306264,0.039627206,0.11729642,0.11010837,0.02746262,iaouUJ_iNEs
0.12721853,0.4620876,0.06100749,0.07091636,0.09695323,0.061260697,0.19307686,0.068981275,2C_hk_xSIjs
0.1517405,0.3978213,0.11793089,0.1464265,0.16335268,0.00032740686,0.40431583,0.13307866,_ppW6u8zSC8
0.054438435,0.4467854,0.10073655,0.22990009,0.049284056,0.7184869,0.15373372,0.056762375,LrOtLPIvv9Y
0.06591434,0.20388016,0.2990431,0.3170379,0.1950122,0.22283867,0.12329766,0.18715422,8d0CwSk2yrg
0.23457608,0.45464987,0.29704052,0.09870692,0.26645333,0.26232588,0.36379504,0.21523589,etJkLp6GYdE
0.13854344,0.26526946,0.13856576,0.01999182,0.14893924,0.0071887095,0.19332784,0.18645732,MsUAlt-kzCI
0.07429767,0.2948174,0.367629,0.5026305,0.4084184,0.026482284,0.6403272,0.21693051,9GlgujafCqU
0.22023422,0.5004607,0.114033304,0.13017663,0.087660395,0.40657243,0.2778582,0.12416417,3wiSmTTv44I
0.08791287,0.20592885,0.03534076,0.051737156,0.053368255,0.12036382,0.105056934,0.071316436,BoDjJbpw0Qk
0.07241369,0.4310091,0.035750378,0.02655065,0.043216776,0.11306672,0.10566685,0.055148214,3mmZDyK8zmM
0.143095,0.31803024,0.15011652,0.07970683,0.28836033,0.13510738,0.26244313,0.14303926,TYR7b7dgp60
0.0582548,0.19737291,0.29187953,0.2712817,0.2575101,0.16810389,0.12113225,0.22157817,jL4LxHk-xwQ
0.10153367,0.39323568,0.13530393,0.005900364,0.120354086,0.095251575,0.14758469,0.0962507,kZgvu1-bp9E
0.05062633,0.1716299,0.26769468,0.27690583,0.27687496,0.2055959,0.113098115,0.17795385,K4DqghipTMM
0.02544031,0.22308564,0.008180952,0.03616466,0.0077766185,0.4700751,0.07050332,0.010133022,VV_-FWdcchI
0.105831414,0.3592654,0.11589507,0.15684792,0.10099939,0.30378208,0.24872237,0.09815934,P_ss6c0i2Us
0.18531951,0.38694856,0.35010707,0.08555053,0.23094231,0.012554584,0.31328407,0.22354291,mSmNMV-LzbA
0.2717163,0.48055705,0.37262115,1.3557822e-07,0.27936685,0.021021351,0.3974237,0.44791275,t2aMH6eRlig
0.146722,0.42296228,0.024668142,0.031701013,0.094758056,0.026589086,0.28784958,0.082333915,EuVmMCwIa-k
0.1489637,0.37302303,0.14859383,0.11729682,0.26630676,0.17537135,0.3465799,0.15143223,RjNI-tEU4y4
0.19003986,0.5222499,0.10997092,0.09924392,0.12361682,0.31344363,0.31326818,0.18722922,8t01Ts_MvRI
0.2247071,0.5235646,0.30624756,0.1464265,0.23890169,0.2196889,0.36530322,0.23751698,03a9GxslJ7w
