PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.13268036,0.245222,0.097092375,0.12721689,0.095589176,0.1616235,0.039254878,0.10337767,KqCbMs5HzDo
0.23576841,0.3572264,0.11935183,0.12865795,0.09652134,0.6027846,0.10956893,0.120564595,nh2lbwQMsqo
0.07573487,0.3372641,0.1507476,0.13604629,0.4727057,0.10613176,0.08501353,0.15167128,XuAnoy1n7cI
0.108869195,0.43239337,0.03668613,0.12922823,0.07499174,0.013048067,0.2406723,0.035937842,ckwQ0WKq71w
0.7152136,0.34992486,0.09686932,0.16639596,0.15174253,0.37134242,0.16035037,0.15470421,ATu3p5cmDOg
0.06469334,0.34516135,0.061517786,0.05738759,0.059996124,0.03591951,0.004963247,0.044344474,BgZy-8q1aUs
0.07019987,0.20250352,0.08181096,0.0421088,0.026448375,0.08282488,0.020130653,0.06810621,yTAo1yYHRC4
0.1934118,0.36452538,0.10452894,0.2685793,0.6099004,0.08826671,0.16035037,0.31168422,20XeaOPzSMo
0.86708975,0.37040037,0.1255589,0.20190375,0.300758,0.1394337,0.39206567,0.25938702,Jmu5t4tn9Wc
0.258519,0.2577731,0.1434561,0.06399129,0.046038985,0.15851474,0.009162918,0.08468617,x7Tspg0lH9U
0.14333123,0.5002553,0.18934806,0.13362174,0.17140347,0.047886007,0.01999182,0.14454716,WbEzUrTZVcQ
0.11710361,0.2102729,0.081800416,0.09674367,0.20560168,0.15356413,0.17449278,0.17127949,aWcWre8suyg
0.58591557,0.26944736,0.0680205,0.25082454,0.10965194,0.3702227,0.13431281,0.09994482,hfLNGhmfuIs
0.47259933,0.55622387,0.19018576,0.20871939,0.14819275,0.029747274,0.036508016,0.1482769,T2HNDfuW0mU
0.051685266,0.14918625,0.041362677,0.023801526,0.018689241,0.116334036,0.02262963,0.035522334,CHtLVHUmfhI
0.58573073,0.2864791,0.06665597,0.29563177,0.11846326,0.34748498,0.13296685,0.10781661,zVRyLSt1TUU
0.3175409,0.3887837,0.10537863,0.36140597,0.80613285,0.022191223,0.40636617,0.50264937,88mBfhkx-Kg
0.10110262,0.3551108,0.103592895,0.047807477,0.046423316,0.027396275,0.0041129007,0.07948495,n7zZ7xpy2wg
0.56016225,0.56459177,0.28394967,0.18347186,0.20294869,0.037884012,0.24991328,0.31105933,wtADniautYg
0.5493127,0.40946317,0.082098395,0.13923343,0.6555702,0.45230716,0.42631236,0.17613873,RecKjvC7BSM
0.06056187,0.1745555,0.04779514,0.03084523,0.021081718,0.1468943,0.07211506,0.028158067,sENjTuOWdaU
0.09802228,0.29918024,0.08704263,0.07153356,0.06443698,0.2620905,0.013050216,0.061433252,OkZOBVnEmaA
0.29735976,0.34325248,0.15543294,0.17272104,0.19907863,0.07195032,0.043031808,0.22490099,9EYdUkaJvd0
0.49759072,0.40607268,0.10993338,0.48854327,0.3012719,0.43991834,0.37083253,0.23796247,mTGyWctiPfw
0.07981068,0.24472663,0.04052187,0.046914704,0.01921123,0.1942456,0.26817688,0.025079414,KevSqUHvaGA
0.5104041,0.3759203,0.12134076,0.58523935,0.46480218,0.4611415,0.2088965,0.18190107,K_314o8Tab0
0.082617685,0.39798665,0.1361649,0.025533617,0.02486707,0.11800456,0.040628307,0.0649807,kdScehaW7dU
0.047647223,0.1421045,0.031030277,0.01711357,0.012068262,0.17739935,0.030670939,0.021903075,hb2fCgQWcXU
0.085971944,0.28374907,0.07743952,0.07898056,0.054028127,0.056820247,0.007739889,0.06163022,fZd9Y9z-OZQ
0.48976904,0.5602642,0.23473856,0.17285496,0.24998707,0.26312682,0.13565879,0.23767368,aPVNp76vDEE
0.22718327,0.23983704,0.17644723,0.13504548,0.22921884,0.58966017,0.020408317,0.35943997,EI5ZreAWcts
0.14709996,0.33583033,0.11051013,0.06792137,0.12332695,0.12494102,0.0054838676,0.16311741,cWLKyXYv22I
0.103951074,0.27948692,0.07106871,0.06656299,0.06768806,0.024973456,0.1710401,0.086906806,-GZFHLAcG8A
0.6914825,0.2953172,0.07723938,0.19888788,0.3915549,0.40124568,0.22775516,0.21492524,VTsmsJQ0ouU
0.11306314,0.23669997,0.08577614,0.101720616,0.10758139,0.14195491,0.038911518,0.102433555,jHGFf7xxcF8
