PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.20846765,0.14225163,0.20325437,0.15209404,0.11665283,0.38767302,0.441199,0.272662,5bj5rdAjHTE
0.2665093,0.05777035,0.031994287,0.02641914,0.032559406,0.2571472,0.09033366,0.024980709,sOENpuNDpIM
0.0013141287,0.082080744,0.07823153,0.056417804,0.008225801,0.44182467,0.1415087,0.053051844,28ljV8ancwk
0.13129188,0.15931489,0.079795465,0.09926921,0.06771983,0.36208415,0.17162752,0.09794322,ht_2485cpNU
0.19964279,0.14927348,0.0804428,0.053648546,0.08555053,0.21842232,0.15144564,0.078806944,s1YviI9F6Yw
0.10920448,0.12834847,0.051118612,0.08744564,0.068918526,0.42657056,0.29826924,0.070860244,FEz4QMeVjGk
0.15028122,0.41518262,0.6048513,0.23389545,0.31671798,0.4645886,0.5616193,0.61655587,E3qLL7Rjb08
0.27845183,0.05457901,0.13939089,0.045310866,0.14418322,0.3886954,0.106925495,0.05528269,6Vk53G0bBJc
0.18887374,0.048975598,0.030734792,0.031555872,0.03221605,0.3362569,0.08442876,0.0247389,IXO6-1lp_-k
0.19566506,0.11138306,0.27087623,0.44055352,0.0495556,0.63124573,0.20300494,0.24195915,Yyj7B1-Zk30
0.43826827,0.3008987,0.36456716,0.19793893,0.21362646,0.5456304,0.43801713,0.26883695,k8-LItlesJ4
0.15371558,0.06662014,0.082866125,0.14893071,0.062125895,0.45951554,0.25178698,0.11506523,GJmEgGiCK0c
0.12463601,0.06482942,0.047041602,0.13105172,0.011384231,0.5109195,0.16703826,0.06358438,ktDpr1L5v2k
0.124641605,0.12509604,0.07594911,0.12529232,0.15918289,0.3113615,0.2738889,0.10141331,RoDCaQDvZIo
0.026850423,0.054825086,0.03588099,0.11594125,0.021657806,0.3045405,0.09456688,0.06257753,MVdlZ3qlzm0
0.18476821,0.08084016,0.1266886,0.05734228,0.2590451,0.38627177,0.126184,0.063254304,D5NmJQunL4E
0.30237165,0.11904913,0.15552925,0.20298691,0.10515087,0.39551482,0.2389523,0.26832446,tOj8QhBcUn8
