PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,video_id
0.06661581,0.11021292,0.20181212,0.40065888,0.1591803,0.05100973,0.03968106,0.030903244,yYtxxMX9-jo
0.23310608,0.29756662,0.7152018,0.30079734,0.44588485,0.09852576,0.20411302,0.17621666,FGY6K3lahBA
0.20524332,0.12760067,0.08464954,0.40151832,0.19449551,0.07641097,0.086112306,0.2689316,HzQycpY4RqU
0.023266526,0.0073233927,0.057916336,0.22334304,0.15611714,0.053139176,0.05230666,0.05300981,AL3S_1x5_uA
0.02935961,0.008399341,0.048155185,0.21894202,0.25847843,0.05572241,0.034461103,0.022660406,3KO8iVBic-0
0.15961485,0.15918289,0.13632536,0.22327611,0.4484699,0.05673688,0.095239624,0.20699078,jCuSsbsZsSs
0.1169446,0.13610743,0.48327318,0.34234548,0.15246195,0.13864158,0.15071805,0.14519607,y8-v3BkwmJU
0.2988421,0.0050673713,0.40222982,0.34166217,0.15186794,0.2468576,0.27439642,0.33370295,1rrjJyTYbWI
0.10911761,0.12244874,0.17302464,0.28601158,0.21384801,0.11648626,0.16231062,0.14614014,LkH2r-sNjQs
0.051393554,0.085282035,0.25462976,0.3294864,0.2623291,0.07333708,0.060529523,0.053266373,72QdD58JiUs
0.02775927,0.012911384,0.08388827,0.46717724,0.18860486,0.08340789,0.057095565,0.048789438,-v17_7ojPNg
0.047434103,0.105704986,0.15136273,0.21918511,0.26392204,0.07121224,0.09419131,0.08182807,4Bol3Cdln5g
0.3714392,0.21804169,0.45684823,0.35841355,0.18423407,0.061664008,0.22512439,0.49769866,pjKXvqSNIkk
0.038676087,0.006559816,0.06725818,0.30077818,0.19410071,0.07148986,0.046196606,0.02743042,Y15D19usS0g
0.09625,0.02809576,0.11641115,0.33305618,0.14182867,0.079021156,0.051340327,0.052011576,svEuG_ekNT0
0.05125159,0.029984225,0.11418718,0.4211089,0.1512865,0.11068308,0.05781414,0.055330902,ijjwS6h-PyU
0.47917938,0.49981686,0.4201846,0.57967085,0.060037415,0.26420555,0.47433984,0.80613285,qTGrNAw8Ekk
0.079409696,0.09548495,0.24125144,0.3381496,0.3761714,0.13256565,0.15747456,0.09032147,PDFzO_X9vo4
0.006641952,0.020269485,0.031064173,0.3798816,0.23761716,0.067359984,0.015995005,0.007313321,YSreS7_zX7E
0.07571976,0.10956893,0.11395574,0.28831905,0.2161316,0.038994927,0.039219752,0.24190876,vPriOpIek0E
0.040364288,0.0253489,0.092858456,0.46264192,0.24543914,0.10977988,0.05427743,0.033199515,UeRkdZz_Clk
0.06689999,0.022213135,0.17483869,0.27675024,0.18505348,0.14530525,0.09654808,0.047772136,oKyJas9DShE
0.023366475,0.04268845,0.049705684,0.23664472,0.41160098,0.069453016,0.037088268,0.048939686,HTc3LRLM8gU
0.0063026557,0.0358213,0.03377165,0.33697844,0.1587458,0.032407258,0.012233676,0.006113291,rJI_cwAt9y0
0.06305628,0.14193995,0.2348313,0.24204281,0.22052254,0.051969204,0.069991045,0.057569247,90O-q7dgS-I
0.076582514,0.03358948,0.14355755,0.25965792,0.26318806,0.1258046,0.092114456,0.057113934,zEWYhRYshK0
0.25954223,0.33859563,0.28253403,0.2796047,0.17546788,0.14613642,0.18966116,0.48151216,SJZItdQOR1s
0.051550735,0.053335425,0.075004905,0.25987273,0.097744085,0.059422985,0.07292423,0.079419285,xQmfLDeghpI
0.12518948,0.008954669,0.33663833,0.43080077,0.2916099,0.22814794,0.1784671,0.08554587,yj6KpT23UnQ
0.10541206,0.15276173,0.1474046,0.29083833,0.17690611,0.044817787,0.046955597,0.04245364,ofZOWzd4YjE
0.057370193,0.027065687,0.21325164,0.38548946,0.2872006,0.04764435,0.038608436,0.043661393,cOVYUkLh8Qw
0.63695884,0.7699882,0.43316808,0.5527434,0.3586302,0.52972406,0.783706,0.6356477,mQsNkt9yuKI
0.06831465,0.025863936,0.14198865,0.24688108,0.15042494,0.13916598,0.08521093,0.040887468,q2VRcpP1I1s
0.035369813,0.009648831,0.0784484,0.22023305,0.12325955,0.06112203,0.04876662,0.036063287,BGdIHlqJAU8
0.04278979,0.092262976,0.078462966,0.46794418,0.12782088,0.06446959,0.040536743,0.075333506,dRjdkTcqizQ
0.046571787,0.042001735,0.10936404,0.35582072,0.315865,0.08294852,0.054179423,0.048362087,2pVwt3-RZxI
0.053915113,0.01721518,0.12065441,0.29412797,0.11517786,0.09397021,0.07894467,0.051436786,hNFueUCOQDc
0.060104545,0.027580723,0.44860694,0.31636798,0.22755502,0.03954207,0.04811047,0.04164874,HAl2JJjbu0c
0.02328869,0.014299706,0.043386046,0.2770369,0.07097662,0.02430771,0.010338011,0.017504089,jblC2Ooog2U
0.08751606,0.053335425,0.15719247,0.25856113,0.10912548,0.059377756,0.05089339,0.061727125,rscduTc3oys
0.14971803,0.04165838,0.29077137,0.37719053,0.19203345,0.12832287,0.10573216,0.14900453,4g0TYwgfQOc
0.070267454,0.0753116,0.3001464,0.3894592,0.36172011,0.16855378,0.10579678,0.05427686,J8AHHbiic98
0.02403474,0.021380141,0.053111587,0.1877583,0.2417739,0.048819598,0.036956266,0.025633752,MF62gzBoQuQ
0.06526858,0.0053797434,0.093921736,0.34702247,0.17923748,0.059872404,0.039709892,0.032486767,_QoThsSmMJA
0.113375954,0.053335425,0.31925887,0.40576437,0.26363102,0.20805976,0.19052848,0.088054754,Zgs3-_sXPsg
0.12367144,0.037194733,0.26795503,0.29997504,0.35804373,0.15942478,0.12900221,0.10831795,mfb0D3P9org
0.11047056,0.0753116,0.10270413,0.34067938,0.25179023,0.06068524,0.058232643,0.19292897,Si7dntPP3S4
0.18581805,0.39230084,0.24082096,0.31956273,0.57874453,0.27712825,0.5802218,0.49056134,Q88so45WKjk
0.029688567,0.012494888,0.11368769,0.23212434,0.072973095,0.025445808,0.016966498,0.024080778,ZfenoKfibJE
0.03619866,0.011661896,0.12748066,0.2748847,0.0746263,0.027738722,0.018165966,0.031039031,GLgUG8lPHzE
0.06791522,0.10300289,0.18348683,0.25802,0.12064436,0.08302883,0.119279966,0.044413686,t244U1TqPwE
0.036339186,0.011523063,0.12820624,0.3309109,0.4387052,0.037829798,0.020160116,0.032261465,8ZxQ5GThciI
0.050707255,0.05653196,0.07600662,0.3701718,0.2675314,0.04987479,0.042545322,0.10545214,IZotfTLCins
0.09385044,0.028782474,0.2535939,0.294288,0.09931073,0.08356735,0.085997514,0.06880169,41P0xr22SXQ
0.06469573,0.021796638,0.08440989,0.2991331,0.5680319,0.06050746,0.04871086,0.06022389,SC9TvDX6R08
0.04648431,0.014646785,0.1627829,0.3525471,0.18715546,0.05866097,0.04069552,0.052836407,zAcR6qoNO9o
0.06983548,0.014160873,0.134973,0.37920448,0.123198114,0.11357394,0.073607564,0.056514893,s7scSfpwnqw
0.18924175,0.08290337,0.18364742,0.42270544,0.08962679,0.040470142,0.054102827,0.09814307,y62k3eFoMZc
0.049482558,0.015132698,0.06639461,0.29678476,0.21417253,0.055702947,0.02900703,0.04358416,augKOxUZWE8
0.11142703,0.1510105,0.2546126,0.36939266,0.3562942,0.19956496,0.14154509,0.114913635,8hKXl7KD2m0
0.05418362,0.08635602,0.26024026,0.26399353,0.39071396,0.061010182,0.060480326,0.03828381,ZegSmm9Jkmo
0.049322154,0.017076347,0.10181509,0.26596358,0.3906636,0.06422106,0.11061225,0.07768209,saWPdEDa_R8
0.15249422,0.0789077,0.20283103,0.40906593,0.7079002,0.15664297,0.16435917,0.21565343,UhRBX9oYz1A
0.030856773,0.032559406,0.15757538,0.28506565,0.25782678,0.04229778,0.027841287,0.031879906,x0ARaJQQbas
0.039546143,0.012217224,0.14663579,0.27344444,0.0741235,0.036148436,0.022955641,0.03305933,P5vwrzaQOUQ
0.16103712,0.026722329,0.33313504,0.5804703,0.11332289,0.18470027,0.117739536,0.083129555,TffQa4KGeuo
0.10354654,0.033074442,0.09657809,0.2655961,0.26544312,0.06652463,0.09132752,0.19799708,moDwlGWjGe8
0.09129473,0.060927194,0.19532731,0.30573875,0.28371242,0.10232835,0.08368962,0.0659872,igWKPlD5MiI
0.15436563,0.036508016,0.19089195,0.29316247,0.18505348,0.17619279,0.2144371,0.17166668,40o4ONuR3mA
0.0647732,0.01492445,0.16918138,0.499613,0.07228656,0.1474359,0.07755393,0.1104585,N2b5Vh3KF4A
0.11786281,0.015896274,0.106373675,0.32407618,0.11261657,0.08598649,0.10900854,0.044882182,mizD483gFxw
