PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.239716,0.04639398,0.13646504,0.04327283,0.03336416,0.027409043,0.07119443,0.035716742,-ItgrxBx3ng
0.47447273,0.07459583,0.28281835,0.056723237,0.114183456,0.04818217,0.03138782,0.05937505,Jm_Tom5RNYI
0.3504659,0.050138548,0.17893094,0.056000553,0.108836606,0.020408317,0.04988173,0.042810667,K0ZDZj2LrLo
0.35756025,0.024772665,0.13045847,0.053887147,0.029667951,0.14777246,0.18664433,0.035094764,UL0NMNuvAQk
0.38825652,0.1140702,0.13447952,0.08469552,0.07748374,0.10300289,0.26343626,0.13984597,YUn20FvYl6s
0.47632,0.09285347,0.3179825,0.089559376,0.15471812,0.019575324,0.07566681,0.095562585,_eThA5S7bPc
0.3439558,0.06203488,0.19444026,0.067378394,0.1273028,0.017006932,0.049881727,0.04725552,2fF6T9yhdYk
0.40147936,0.076777324,0.1933901,0.049553085,0.06368569,0.03856816,0.09131996,0.09056436,yNAOAkVuIdU
0.25170305,0.023294007,0.085525915,0.03222516,0.03809875,0.015896274,0.13071693,0.032310367,4rGhqZF3jTI
0.3301763,0.037957177,0.089377925,0.04432073,0.063245356,0.055732824,0.16091543,0.054522134,G9_Oj7GAIf0
0.49611828,0.04523499,0.2758706,0.04904192,0.115058534,0.03444787,0.02742089,0.059606668,ae3HiW5SCjE
0.37725273,0.08100743,0.15027617,0.064245865,0.06857269,0.048525527,0.14778756,0.1338569,NjiQbL6AvtA
0.47695068,0.07422837,0.26719463,0.066531874,0.103380814,0.03358948,0.055998772,0.06963398,C7Ev0QYL1w0
0.24995153,0.019094272,0.07332625,0.024500439,0.03219983,0.013327881,0.1850161,0.029106062,DjBC-OLYViA
0.33306015,0.06303074,0.19271207,0.06894922,0.122455,0.018187003,0.049881727,0.041616652,e4k_fCjlPCI
0.39433384,0.03677717,0.09421542,0.064611435,0.056460533,0.030670939,0.02859689,0.04281366,sGxQxuCmbuE
0.36198643,0.08950199,0.20010251,0.07962392,0.12221486,0.01596569,0.04988173,0.056247346,1yVgXg85U3E
0.47490543,0.083749555,0.3062775,0.07483717,0.15013504,0.019575324,0.07276229,0.08874426,1GLdOMvc9ZE
0.3075688,0.08665381,0.21612115,0.10643535,0.116518304,0.0066292323,0.02731225,0.07607135,PEqzxM7I96Q
0.45053124,0.079633914,0.2751598,0.09079837,0.14971237,0.056931525,0.087226875,0.06556261,QZ21ey0RPSA
0.33786815,0.05482106,0.14700532,0.027827496,0.04387473,0.013050216,0.107804455,0.09590207,v5xJgIF1vNA
0.4003666,0.07839197,0.18097737,0.08667192,0.12483293,0.018742332,0.07759782,0.07855188,fnqHTsiBdzQ
0.37273204,0.15645565,0.2456704,0.19210014,0.48068818,0.14597784,0.06412781,0.1249332,Fen-Weo-ZnM
0.48993376,0.047090523,0.24664761,0.04633899,0.114886165,0.1609341,0.0033448562,0.11434678,2TQWPx2ardc
0.6241204,0.040976506,0.08400793,0.025686575,0.030138606,0.025863936,0.2155042,0.057107072,HR5DFiisgzw
0.42127645,0.08949238,0.19013284,0.07045071,0.12609535,0.0253489,0.14338084,0.12234536,0cMDAe5CUKQ
0.38268954,0.036092162,0.16559714,0.06016419,0.062365748,0.043718524,0.03787867,0.03413735,oN79UFM0iNw
0.40533084,0.062498473,0.24231681,0.045290515,0.106137395,0.026894007,0.06653313,0.06264148,s1aUdWiHrco
0.26053333,0.15281391,0.16517632,0.1398744,0.15494698,0.20742953,0.13311808,0.1502016,pYF95GuNLbA
0.42600608,0.08408559,0.25013873,0.068630904,0.093380235,0.016173938,0.063164264,0.12199727,bqUDMSLDELk
0.39481267,0.044710204,0.19810385,0.045446776,0.060284395,0.03856816,0.21757478,0.07060099,Vv36PMDG4zA
0.3698412,0.079231754,0.1948464,0.054095775,0.06395081,0.02809576,0.06814345,0.08295568,dTVu7XU2o9E
0.28873292,0.042745363,0.12739216,0.028006481,0.05620646,0.0024989776,0.06053222,0.053725112,nfvSddMkDUI
0.22627214,0.040273793,0.06015861,0.07558377,0.05655671,0.21274342,0.31370208,0.045812838,uvbURZHyAt0
0.4175576,0.09390957,0.34103167,0.10924514,0.17762157,0.061726328,0.084276825,0.13252808,9est_pDuZXI
0.32459757,0.101460055,0.18093857,0.18122384,0.09372501,0.22991583,0.5751894,0.07171204,rR76XWsrOlE
0.45940387,0.062184636,0.28190297,0.06033812,0.103347816,0.031529333,0.015744993,0.05720495,VlOqM_kPDXU
0.48973536,0.079179615,0.25771317,0.067202985,0.104702525,0.01527153,0.05026893,0.11713649,psIUwR3M0tU
0.34947753,0.057986528,0.19723597,0.06013868,0.11494555,0.016173938,0.049881727,0.047055997,BxzfgBe3Itk
0.696689,0.10530697,0.27442855,0.06849143,0.14606246,0.049898956,0.011503834,0.20896481,OyN8_BKsZso
0.2662272,0.061688926,0.117223844,0.05333591,0.07518273,0.028954152,0.16501017,0.06810996,lv4Zg-209MY
0.42170858,0.07325316,0.29707715,0.06436143,0.13347642,0.02397547,0.07276229,0.075331174,qllNZAfYLw8
0.35493782,0.076343775,0.24203984,0.08092461,0.1384565,0.017076347,0.049881727,0.05758153,DnDbpNXyRrE
0.37028223,0.09515784,0.24829273,0.09518662,0.1421748,0.020269485,0.049881727,0.06805735,luUSISk_YWw
0.29924345,0.051183965,0.20416875,0.060149193,0.07678884,0.2022951,0.18333589,0.071943164,OhxZY2n3tWQ
0.236731,0.050739534,0.09386056,0.053679813,0.10332703,0.040971663,0.18158647,0.0565643,eHR4shpFVMM
0.49991655,0.09797632,0.20019276,0.0677469,0.08573053,0.053335425,0.05645959,0.14386538,KxiQ2sOyiKc
0.2967286,0.05009419,0.16222684,0.036641106,0.05075659,0.021657806,0.15883087,0.05261232,m6BXTTmvKhw
0.33399847,0.09487857,0.15423273,0.080758795,0.07056842,0.15743166,0.097077586,0.10630665,hZZNWxJ92vk
0.35600644,0.09316207,0.22739996,0.09032189,0.1420112,0.018187003,0.049881727,0.054355394,_6jdc7E-Pt0
0.54118323,0.07693878,0.0863592,0.029776098,0.04897811,0.09065199,0.08965853,0.24535285,AHNVAshDo98
0.3725709,0.69404715,0.370942,0.9091764,0.46529093,0.60845,0.28107756,0.2278383,68AWOK_Y3OM
0.34534934,0.04850286,0.18327223,0.050583776,0.10392934,0.017909339,0.04988173,0.041480597,TnMe32l9Usc
0.4971021,0.071941346,0.2941587,0.058491886,0.12384392,0.018742332,0.014345056,0.06831301,fT_DqyZOAgk
0.5412565,0.3380293,0.49774092,0.2874583,0.30621868,0.20302857,0.013116233,0.37037268,fkfz-SneeQc
0.4010491,0.04820374,0.1761616,0.05476127,0.061420377,0.070516795,0.20645295,0.082910135,lJ7MKiccxHE
0.32238144,0.16060933,0.22265916,0.19138236,0.21750733,0.23014031,0.25618136,0.08820042,Vd3y4PFQbXU
0.41861272,0.06220508,0.19355553,0.0894985,0.12648526,0.17759849,0.15521845,0.05203139,tJuFQ9FiAdw
0.4767316,0.10212783,0.3251265,0.096257605,0.14301433,0.019852988,0.098024055,0.086030655,7jL6cBsxst8
0.42438933,0.1087197,0.29676253,0.07891996,0.1119598,0.025005542,0.08274923,0.14811207,nAwhGdFKX8Q
0.55014735,0.16398676,0.32309932,0.20940839,0.14292601,0.2712817,0.43731427,0.19529165,0nDReyAiwD0
0.24665782,0.08512953,0.2593308,0.11796934,0.14922489,0.13700475,0.26357484,0.06541048,vn1mKvoe6As
0.30160883,0.077865556,0.19624092,0.05800311,0.06490677,0.026894007,0.15883088,0.07215306,jqTuu7xZV_w
0.37216234,0.08792097,0.10287943,0.1423392,0.10614532,0.055333257,0.18896598,0.13593733,_qhypaTyHag
0.27322054,0.16293034,0.14792415,0.16444802,0.14356382,0.14059398,0.23282793,0.21781674,9_urasKyWDQ
0.37510443,0.11627618,0.3782212,0.15819241,0.17616872,0.12309273,0.21563387,0.11731732,f-dvQdEipME
0.2693394,0.08153292,0.1469946,0.062474277,0.09495414,0.02655065,0.08888331,0.09471181,NswQD2K4t_k
0.38778415,0.06938367,0.2287607,0.047453254,0.05514786,0.033932835,0.15883088,0.07747176,Xifa5deZM8U
0.33070925,0.05379837,0.19953966,0.0567407,0.11055293,0.0186035,0.049881727,0.044537038,NFDqQ1BlQtA
0.4525323,0.12127323,0.3568889,0.15777701,0.13386233,0.13565879,0.051983267,0.07697966,dxcUYb9bmWw
0.24199419,0.0744821,0.12882192,0.04353579,0.051303077,0.046465382,0.16769579,0.08967063,3tgZrQAmB3Y
0.45469972,0.09534576,0.37407467,0.057763167,0.15829796,0.035649624,0.0853208,0.16391942,CDkZCG0UsO8
0.40962714,0.04714567,0.24642383,0.044491254,0.08222372,0.028954152,0.07931957,0.048214775,lH_PaoEHrj0
0.34276417,0.051591817,0.10002665,0.04600248,0.0687042,0.014507953,0.028080793,0.06298285,LEYkeJRUd78
0.3508622,0.032287527,0.13161339,0.04054504,0.030587774,0.03049926,0.24556549,0.045035254,b3f5XrGFKTE
0.5614524,0.22710025,0.33572882,0.3099785,0.29188845,0.35227737,0.041216288,0.1272395,L069cmM8wTA
0.2679273,0.03719704,0.07826345,0.032775465,0.054951686,0.034962907,0.25494343,0.056174852,SJwiCS9d-sw
0.41612217,0.047658943,0.17470485,0.06936749,0.06478837,0.12051678,0.26779425,0.08040698,d0mcejCyAzE
0.34058082,0.06873089,0.22888863,0.077013955,0.12298858,0.017354012,0.049881727,0.045983568,vvWVHYQ4Qj4
0.4970315,0.098321095,0.14837311,0.06436093,0.06897628,0.018048171,0.03930087,0.1523758,E-PIBCA_EZ8
0.3580189,0.0806183,0.18793286,0.085893504,0.1268634,0.016243355,0.049881727,0.05290827,oEJsudNkgio
0.3479192,0.08094426,0.23199624,0.08891738,0.13644767,0.016521018,0.049881727,0.050520636,g6DRl-AgirY
0.30314592,0.05772248,0.18016313,0.027675616,0.04765643,0.09387396,0.19318101,0.117846735,b9aIJzDOa8A
0.5018222,0.10654447,0.31168768,0.09069551,0.13960092,0.020130653,0.098024055,0.097043954,4qinvc0kq3Y
0.3352412,0.052322995,0.14882062,0.029858636,0.054706685,0.058929358,0.20251116,0.10550652,9YFYYK1oy1M
0.32700592,0.04278843,0.18759617,0.044634897,0.096727155,0.016937515,0.04988173,0.036050126,AhTOOP_CMQ8
0.3930956,0.0799106,0.20937267,0.068651736,0.08329839,0.01665985,0.077300146,0.10479626,4H62mU9UP3E
0.3849309,0.12915538,0.26280552,0.13162638,0.15177071,0.01665985,0.04988173,0.07654733,EX1jbC6z7Kg
0.28044882,0.04916838,0.10129865,0.039155703,0.11251298,0.038224805,0.3620175,0.03724398,8KQmqmJTPak
0.39326313,0.16330072,0.16617581,0.31689936,0.12897854,0.3170379,0.43968874,0.1130797,bxEJAbmhg-w
0.34843132,0.058084328,0.19996028,0.06602241,0.11384074,0.01561861,0.049881727,0.04827639,oS7hloBX82g
0.35529515,0.02298994,0.09333665,0.024496008,0.030411618,0.01561861,0.15058535,0.041795667,vZtQY19jFnc
0.38496226,0.08159445,0.099363156,0.15805739,0.070464954,0.060527626,0.14087583,0.06909196,9Kdz7VZM_ww
0.4101816,0.092549294,0.37242043,0.09087937,0.16073307,0.065721996,0.05512725,0.1425783,4AEaGByu_lM
0.24678536,0.06730773,0.10293238,0.05006993,0.071215905,0.028267438,0.10392994,0.081053205,n9rY7QdEfio
0.3945326,0.59058255,0.5008165,0.43515107,0.40635815,0.16275369,0.1293475,0.45336267,_la41nVnQUo
0.24090037,0.016781641,0.06598095,0.022521952,0.024430208,0.01561861,0.17345113,0.024734832,AeHQpRVxN94
0.3506869,0.08973743,0.24463071,0.10168447,0.13789055,0.017354012,0.049881727,0.055201765,k-Qjb0ffT54
0.27768725,0.04615201,0.16918504,0.043213148,0.065593384,0.092262976,0.19001174,0.0469286,QtJ8Bt0rl8s
0.36429134,0.09433162,0.36593103,0.10390636,0.18876988,0.05253629,0.105748534,0.08989132,DCkzhBSwBow
0.36073473,0.07318854,0.22224037,0.07617871,0.12612121,0.016798683,0.049881727,0.057126895,fo6f6A98Kv0
0.36558244,0.12517081,0.23755832,0.09814096,0.16599888,0.030670939,0.07573675,0.14249305,PQVQNHYUO-k
0.32769376,0.16464867,0.2159806,0.12417612,0.1540654,0.09816993,0.2177023,0.2320695,DVPcnas4a1k
0.2871808,0.030625954,0.076904625,0.06599796,0.082481734,0.04131502,0.12251629,0.03624491,nFx1PUwtsxQ
0.3171011,0.07954512,0.12881888,0.07997884,0.07359911,0.119228795,0.43940705,0.07918552,8OYydaepd64
0.32221156,0.027322454,0.15723476,0.033847876,0.03453578,0.04165838,0.19425936,0.032266624,cCAKqga-bQs
0.5249788,0.09608043,0.32149255,0.07274304,0.12557901,0.018742332,0.09794327,0.112475775,knzrUzArEQQ
0.41368198,0.10565183,0.2418419,0.14945035,0.16055192,0.15626417,0.44083682,0.10463625,XRTc2sivY5Y
0.41363096,0.07431139,0.30005154,0.07128739,0.13040812,0.01999182,0.07481038,0.067569874,UvLaBClKYX8
0.5085106,0.10433444,0.3210013,0.09355204,0.16923107,0.019158829,0.15046944,0.10797214,ARVfa272lCM
0.56338537,0.116650395,0.36554405,0.09369077,0.1575208,0.019575324,0.098024055,0.13627371,kEBrPCPWlpM
0.45732614,0.14135523,0.33216727,0.114226945,0.21068391,0.14552918,0.06159812,0.2576564,r0yy8pJ0Tr4
0.49535394,0.0990748,0.30876005,0.085739404,0.13140145,0.019714156,0.098024055,0.08968473,62oIf5PLgpI
0.36330712,0.0769922,0.21196899,0.079148926,0.12959151,0.015896274,0.049881727,0.058293335,2dnzMqFD0LM
0.43300742,0.080588065,0.30651525,0.068523824,0.13532542,0.022351967,0.07276229,0.08186623,W4uZ3X3p8Wc
0.43826088,0.054741412,0.25656676,0.0471457,0.11624758,0.040284947,0.09137932,0.0675517,py4Yv6_CiJU
0.22673209,0.018989567,0.070339374,0.020518612,0.025990542,0.016035106,0.1357699,0.029752003,pSOqzmUItmA
0.4614333,0.036360525,0.24160616,0.027304018,0.06593217,0.049212243,0.056045566,0.040147033,gUiYsPgEslo
0.3252952,0.06444155,0.16648057,0.051863093,0.05096985,0.025520578,0.15883087,0.06390326,sou-1jZXGBU
0.43365476,0.09930976,0.30712223,0.089139014,0.12788275,0.018881164,0.12758052,0.06965545,Y4n7jS-VQOk
0.36228994,0.06126088,0.20483507,0.062259495,0.11826717,0.016104523,0.049881727,0.052104402,-dWNfLr9yeQ
0.26523933,0.03995447,0.0918773,0.07311548,0.05564961,0.13431281,0.18470955,0.03975303,2mBKMA4-AsU
