PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,video_id
0.31009376,0.054593142,0.47522855,0.12180476,0.06815297,0.026608592,0.12539743,0.17769167,OwE_fvtP4ww
0.3121832,0.06356179,0.26172787,0.039254878,0.047660172,0.049124423,0.08922702,0.036812205,975uxcMOBcY
0.31370944,0.09252207,0.69156426,0.10031791,0.18199438,0.033838604,0.19248462,0.59605944,VB1OgEXa2RE
0.35032254,0.045115635,0.435001,0.0131890485,0.0667127,0.030657874,0.20028643,0.06789598,d2RSdD12k8E
0.3183369,0.02538348,0.20894438,0.023117077,0.072645776,0.02990376,0.072170176,0.36052716,qglYBbounWA
0.26543343,0.020656288,0.062544174,0.012564304,0.028440552,0.022279091,0.04129737,0.18781868,uLVXFFqZPiE
0.31051996,0.06725466,0.4868279,0.01631277,0.08065266,0.059260394,0.16463093,0.13509749,533E-fv6yCM
0.29758367,0.07216944,0.4958344,0.09387396,0.121006936,0.030071922,0.16345277,0.33060873,QZsfAIB5O3Y
0.31398913,0.05373611,0.48373243,0.123736724,0.06828615,0.03010598,0.11761806,0.19255963,7D6vW_yihf4
0.33582464,0.08515774,0.2042509,0.010481823,0.05243206,0.17259674,0.09715341,0.19854797,VrXdGrrPpvw
0.3503987,0.047885537,0.42349622,0.12051678,0.06435484,0.033328127,0.11367222,0.19330044,cgWZl7HNHmg
0.18169034,0.025151677,0.066802785,0.026035614,0.037246004,0.023146024,0.06629873,0.23149198,cKTd5ze-uLY
0.34359848,0.034740016,0.09818915,0.034791227,0.040895503,0.049936075,0.100421615,0.27242294,PaWbqQpiu2U
0.2603507,0.030145677,0.06563675,0.019436494,0.031314634,0.03311585,0.05178347,0.5680319,Nvlkx7QV7A4
0.19383794,0.015113106,0.031873696,0.028954152,0.010901999,0.018736538,0.025231017,0.17127755,1W3TJXKbRys
0.36961302,0.120203644,0.7083322,0.13969667,0.14786217,0.037085675,0.21296775,0.2085518,ncUdDddMUSg
0.44953158,0.100709945,0.31534374,0.0072886846,0.05448838,0.101390034,0.17717443,0.14704828,FJrQ1AZMrPw
0.5048271,0.1571067,0.49644923,0.0087811295,0.055665437,0.19100969,0.20336434,0.17479074,0iiWM5gTjZY
0.21480389,0.034290887,0.08457999,0.020824814,0.029112523,0.035570614,0.066956066,0.14452627,bFp-DexNMdo
0.4701283,0.114190415,0.6219086,0.1256687,0.1574475,0.08974176,0.31785944,0.16907896,d4t3LXDECCQ
0.4110077,0.08308324,0.54328305,0.11407687,0.09169675,0.084021635,0.28081647,0.26171863,bMJpiKUFi-g
0.3487599,0.03520579,0.37570006,0.022945397,0.063750006,0.05322856,0.1025186,0.19526163,OOKCbck2MX4
0.2812427,0.051143315,0.12853214,0.01527153,0.030216448,0.08639157,0.05999654,0.16222124,zyS1f-hN0rs
0.30377468,0.055624247,0.48834768,0.12824467,0.072609216,0.026971733,0.13117632,0.18347435,AK1CfYLTwZA
0.30784145,0.0652997,0.21152176,0.1019289,0.113401264,0.041089263,0.2519826,0.23040168,R1Ely0LiKcI
0.35295433,0.8546524,0.3258308,0.2712817,0.6274751,0.15015726,0.47861356,0.35515565,iCeQeExCTws
0.28368348,0.0295539,0.120297045,0.0051367874,0.02296853,0.06894223,0.06312884,0.1634434,TGm9P8pMeuI
0.32022664,0.05690283,0.45669356,0.09602194,0.063462794,0.023596264,0.121074624,0.11767903,sB419RWlKWU
0.30945116,0.20018616,0.84413904,0.22977416,0.28673312,0.051157504,0.3382232,0.3933426,bTotgR0D1Yc
0.4450627,0.13737439,0.8005939,0.13296685,0.16159496,0.06907827,0.32899347,0.14424355,DiVx1Oo0AeA
0.3742026,0.03595647,0.23759401,0.008850546,0.05155205,0.051284187,0.087683454,0.18738765,KhJNCg4wLyU
