PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.05436778,0.04328991,0.122174226,0.4263933,0.059271645,0.33888748,0.023632111,0.16787346,Gp2BNHwbwvI
0.056470618,0.06405382,0.074578755,0.2523211,0.04671946,0.25810874,0.05373499,0.31988996,MMLsO3U5pi4
0.19182192,0.36035702,0.30508423,0.8908898,0.10692555,0.34749353,0.41950125,0.53642285,WgeFLW7U65k
0.016541818,0.012643202,0.022379618,0.03142104,0.032040644,0.21926266,0.017770508,0.111229084,3eEq3R8S7FY
0.05991147,0.05026642,0.12672466,0.4395084,0.06252205,0.40887576,0.03444787,0.09622937,wqYB9fJ8Fcs
0.35228872,0.44920135,0.5682244,0.9570354,0.14829971,0.4759052,0.37221906,0.20388997,S5QX7AX_qsI
0.06747254,0.053662498,0.053995907,0.50361776,0.034052283,0.25211126,0.030327583,0.3077189,NrP_erwutME
0.052727252,0.03925197,0.034788508,0.13636374,0.090535425,0.33424446,0.0026378096,0.07701177,8tL-jgcCjks
0.23744093,0.20629309,0.29308695,0.7614777,0.14912102,0.49562463,0.0789077,0.08201705,CGtcaCaRkAo
0.50204176,0.47809246,0.7791245,0.8763936,0.5228188,0.42656693,0.4945446,0.71682614,ILVYD2BY1mo
0.0327065,0.021875333,0.026426403,0.0581499,0.04215702,0.18170741,0.02809576,0.085193306,AZkf45IYqnk
0.27811006,0.22761334,0.5021068,0.7054403,0.27816167,0.45008886,0.13969667,0.2649578,X_tjsgVdK-A
0.08704773,0.06197361,0.06608129,0.10604673,0.17814541,0.3624677,0.012217224,0.046377175,wTRSlZEq_l0
0.07319179,0.07223162,0.060920812,0.5551418,0.02610029,0.25799572,0.14866976,0.4386851,AXr6e_uzDVk
0.06311337,0.086797625,0.14282557,0.27957073,0.08422108,0.41635302,0.0753116,0.14107658,HCg-6dNtBN8
0.35615703,0.41324028,0.28692943,0.91432226,0.07822101,0.3545144,0.17759849,0.020387704,VRq4wBLUxoI
0.052981675,0.044382643,0.042522226,0.07685449,0.08438672,0.25314924,0.14283726,0.24609882,XYKMw0iYT4E
0.16568026,0.20469618,0.3147011,0.8336424,0.06483986,0.33950365,0.16482529,0.37464708,KHHcTNggZrI
0.15527636,0.111469224,0.1104814,0.7008804,0.04133276,0.19741301,0.105704986,0.31731567,6IOd-73kXdc
0.1420153,0.18487832,0.25557992,0.78916794,0.044773914,0.3982242,0.17661177,0.051663514,l_YJ7-N3XYI
