PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.10190158,0.2819173,0.06252546,0.18678586,0.26775378,0.05519069,0.3357312,0.20650338,abHUh-NOnSM
0.033667684,0.13428538,0.045778666,0.07667394,0.22613567,0.19407633,0.30565745,0.1146951,f_tQZ6naJbw
0.054476947,0.16947544,0.036508016,0.06392923,0.13679484,0.009691873,0.32189563,0.11032555,6ekh84_52HA
0.8494624,0.39178583,0.39230084,0.43824592,0.33176136,0.7279288,0.5786843,0.37014827,xla6zVN2Yfs
0.14175813,0.39793348,0.15276173,0.26247397,0.67390025,0.261697,0.31705177,0.26696217,4LI1qjJor1U
0.10200312,0.3086583,0.011731312,0.17176874,0.60046536,0.195947,0.3662058,0.20518239,b8JzhUHhlUw
0.119310774,0.25320575,0.07850813,0.17777105,0.5278093,0.078048065,0.42944172,0.18591775,f5U0YC-n8IM
0.15416326,0.27096552,0.060527626,0.18812548,0.40479085,0.2006639,0.36487272,0.19167632,bpdbKY7vu9g
0.14442314,0.36598036,0.1731117,0.1960756,0.24238655,0.0389205,0.41745844,0.26269463,kFLQkz3BQkU
0.079617225,0.15454845,0.050242316,0.13371679,0.07511861,0.20491686,0.19193555,0.23738252,2d6s5OApRcI
0.09585023,0.20359367,0.092262976,0.14787212,0.38009742,0.003909007,0.38730004,0.16858259,1RWXsSTqFIo
0.09929073,0.39652556,0.014785618,0.21820301,0.18381874,0.07983871,0.25294554,0.3002029,BGAjEcPRTe0
0.13779758,0.4511356,0.05493369,0.280846,0.5549001,0.04215473,0.35660908,0.29503918,JBx01-ZW8X0
0.17379951,0.3261208,0.1423886,0.2316204,0.57085717,0.13184698,0.43065873,0.24012065,qzsfGfRJdGw
0.08738312,0.42322728,0.09655894,0.16008213,0.46007288,0.0019475162,0.38049495,0.24160475,KwMU8WzhAUw
0.13028324,0.45412302,0.13700475,0.23492746,0.71610683,0.1727033,0.42255983,0.29783145,dJG88HZJZqY
