PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.23963761,0.19093978,0.08702314,0.021149626,0.06808528,0.032710567,0.058929358,0.26823777,IMmVab5y_zM
0.32928133,0.09813129,0.03473628,0.048455343,0.030095067,0.023785021,0.033932835,0.20945309,377UvhOxL_s
0.3130594,0.14580634,0.10448985,0.14341831,0.10102316,0.12538204,0.016035106,0.2643324,cAxShqL53LI
0.15750702,0.32729718,0.096449964,0.018754158,0.085266195,0.049054526,0.028954152,0.3559577,n45cE6qOc7A
0.3175982,0.0832171,0.260327,0.05740225,0.18872645,0.049320422,0.052136723,0.4999347,RjuA4okawaM
0.23137772,0.064327806,0.046769682,0.043704916,0.05489104,0.04084071,0.0136749605,0.20548993,bao62zIJOHY
0.40145504,0.4905438,0.09919659,0.061611056,0.07879782,0.06463603,0.09172598,0.28999728,pxjRozjul0o
0.33939698,0.01525248,0.004865593,0.028275821,0.0092971595,0.0055062138,0.026207292,0.33647048,6WAUiSGDVBY
0.27339643,0.20274323,0.14357057,0.14385805,0.17400563,0.14307362,0.025005542,0.22916937,f7l5Bi-Q8K8
0.31630668,0.3512451,0.14302367,0.04747684,0.08605566,0.054589987,0.036336336,0.17919412,1_6gWV0p0no
0.35116947,0.2049975,0.14436077,0.04128483,0.08553741,0.05245724,0.067320265,0.15024287,4HsgKF2hagQ
0.24221793,0.09552822,0.028882831,0.02800435,0.030568114,0.02941658,0.27045983,0.2766957,zbkxwt6bY_I
0.25779352,0.066874996,0.044678465,0.060995188,0.05810753,0.08145278,0.021380141,0.101063006,eBO6Tzjbq3A
0.21835075,0.06978085,0.056313563,0.04744962,0.10166998,0.060438983,0.020824814,0.34408858,AE3wlNYN5i0
0.23955595,0.11456015,0.11742712,0.05134017,0.063698314,0.059232343,0.0495556,0.29693288,Wb1O2s_xyJI
0.31181034,0.06350254,0.055678815,0.028751334,0.09660812,0.033047445,0.043375164,0.26154113,Zp3h_N5Y_18
0.32924214,0.11888321,0.039059542,0.04673014,0.045430247,0.03594304,0.030842619,0.35287783,jCU5C4SrIlI
0.2250878,0.09803029,0.13324906,0.072329365,0.08709515,0.08272696,0.010481823,0.06365002,wKgWUMyEr7A
0.4834926,0.44599622,0.18920577,0.20992671,0.061798718,0.13002567,0.0471521,0.3086328,M3xZFcySAQ8
0.41051665,0.17107014,0.100603126,0.09983963,0.100305974,0.10676669,0.0253489,0.14037158,-d9qUqHCvDg
0.23877491,0.12552099,0.03408067,0.057425234,0.037463184,0.056693424,0.052935857,0.18865612,cqiPhpPeFVU
0.29806703,0.30135614,0.17659566,0.04308141,0.090744846,0.07660995,0.076110736,0.14374,FYtWiJ0giAM
0.28972447,0.08456781,0.04783647,0.02239412,0.0412213,0.019364867,0.01492445,0.28918174,jwCh9EkuHVc
0.19668475,0.061164018,0.025174975,0.023372645,0.029387906,0.01946719,0.013952625,0.13114877,4G3Hwohouzg
0.3282291,0.2797956,0.13155319,0.12791227,0.05263042,0.118918,0.03994159,0.23543675,riIMqapAxfM
0.19843031,0.04601936,0.030669343,0.01819322,0.027420284,0.019867681,0.011314815,0.14519052,6A3JPkQ-myc
0.2268396,0.24381134,0.15546335,0.07976328,0.09550844,0.09560048,0.0729142,0.37590283,EmuXrM2JAvI
0.40767616,0.20564476,0.102566406,0.2842889,0.10638584,0.12894407,0.14777246,0.2735612,R1x3wbzH0zc
0.1765231,0.29022452,0.12591042,0.021276932,0.10388381,0.05788025,0.01228664,0.44773728,A0l_I--7NAs
0.21808773,0.08878674,0.075588696,0.032943487,0.05205398,0.028879222,0.009857078,0.19850902,GPCb4dj59tQ
0.2684832,0.13692245,0.09201096,0.13303293,0.07732561,0.10160778,0.011453647,0.25865498,Kt26szxRNB0
0.2600512,0.34630495,0.11544828,0.04720992,0.09716767,0.048254963,0.065721996,0.19860905,isr51ZmuJwc
0.1602481,0.059143286,0.027262356,0.024538416,0.020184658,0.027958298,0.022074303,0.22783664,cgIIfnKMY-0
0.34602812,0.6641035,0.10458957,0.11052587,0.18886693,0.12292647,0.36805952,0.64489174,hItMw3DqUJ0
0.25535065,0.16655484,0.06832543,0.021548452,0.029092822,0.03014909,0.0358213,0.032817278,yzpyq3LXTx0
0.3832589,0.16394898,0.14434576,0.1299932,0.16103168,0.115880944,0.040284947,0.25958484,Uw5Lwak8gXY
0.27618986,0.0529607,0.05167055,0.029621296,0.10383404,0.03982856,0.031185975,0.3135511,WgvtobJZGcQ
0.3856516,0.08895147,0.05633256,0.08058461,0.057515204,0.048778344,0.06652113,0.26362023,YQWm6pJ07mA
0.2439416,0.08767952,0.06306931,0.031675693,0.059628826,0.041294727,0.023803791,0.1941173,f14K_QSMVZI
0.27957338,0.110825025,0.1277176,0.040010255,0.09738338,0.065693066,0.062925026,0.18788445,1h5P6JpybYA
0.26691875,0.25331947,0.15318237,0.040351328,0.07938741,0.06279792,0.028267438,0.18986255,27JDxX9sK6M
0.3434346,0.12729752,0.05053723,0.117805876,0.06325057,0.08707674,0.03753809,0.19868475,zgVo9i-xgwo
0.24344201,0.0612199,0.037732165,0.022947242,0.03063718,0.017836018,0.10461388,0.27282998,tm3txJgv7Pw
0.25090185,0.05861512,0.013701536,0.034259714,0.010014011,0.015548974,0.021796638,0.26381582,wppZ_Vp2hWw
0.26362318,0.09433216,0.057515137,0.038717583,0.058263794,0.03787155,0.027065687,0.16474561,H6cu-OWWj_c
0.21763512,0.15066254,0.050711747,0.051725537,0.050915096,0.06003963,0.17957193,0.4537295,I08PteHptR8
0.26527435,0.14239715,0.09131346,0.017323345,0.043257866,0.030241322,0.030155903,0.15710135,xFlY64qUaZc
0.19153926,0.06566418,0.026115078,0.018513707,0.025821356,0.025491102,0.014993866,0.1562479,emollluRyXE
0.37534386,0.21705264,0.07910149,0.052649915,0.086854026,0.05679504,0.020685982,0.16409676,eS9en21zUQQ
0.25161603,0.069547094,0.079436764,0.045873962,0.11984944,0.05505292,0.043031808,0.25792873,hUJYWEpIwJg
0.42898014,0.26052767,0.17943196,0.058661167,0.090036705,0.04591238,0.09978092,0.6636731,38_qGkKztFo
0.2884114,0.16954711,0.116684586,0.029526336,0.12088773,0.049049314,0.0717155,0.59759897,RyV17K7fYWs
0.40032786,0.15199544,0.063148916,0.060173735,0.061798632,0.032663036,0.043375164,0.4398441,D8DToL43y5I
0.2285327,0.06724559,0.045908358,0.051883206,0.037199035,0.046288986,0.0495556,0.378098,yl7fE8cMVXM
0.2352972,0.109939866,0.0454032,0.051905196,0.044755105,0.054203138,0.025005542,0.4043634,NGFheLIZqjM
0.1518759,0.05944986,0.029590035,0.020521272,0.042008754,0.030433463,0.0717155,0.25392243,nVtTbrpKKVM
0.26375657,0.15942267,0.16909377,0.05245715,0.117477685,0.072377086,0.0129808,0.27454507,pIFfZyoajUQ
0.2775573,0.32158545,0.09383412,0.028240863,0.043780126,0.038081642,0.06132676,0.19405104,rErC01cC0IE
0.35691738,0.12366165,0.113114856,0.07565574,0.06290297,0.06795958,0.055333257,0.2627243,BrWyZLGTgbg
0.24084124,0.07013899,0.023825986,0.034786884,0.022916563,0.025444278,0.035649624,0.31228405,3yGEOWQXxKw
0.31672934,0.28717119,0.22430022,0.07708947,0.11065706,0.09713982,0.1024659,0.55806595,1Mhh1Cw3WaA
0.21430115,0.06699548,0.0423177,0.02221501,0.039221015,0.024832688,0.008954669,0.17970677,bLSpeT7j_RI
0.38254744,0.48974591,0.13618234,0.15295537,0.072057925,0.119871624,0.018464668,0.5252428,qHg1JhgUSBg
0.4435772,0.26404467,0.08905415,0.029681182,0.056188814,0.025808817,0.09709594,0.25083447,2n1rc1cX_3M
0.33694082,0.09101544,0.11933088,0.033888143,0.10772251,0.049935676,0.013952625,0.27359986,LhrSXKna-og
0.35358578,0.124975555,0.13786384,0.020322924,0.13230097,0.024732212,0.07211506,0.2019962,I2SdASMISEQ
0.23324339,0.19415708,0.10307367,0.0407325,0.056153048,0.049510162,0.030842619,0.2907577,W-iy208c0L8
0.30151793,0.12863246,0.11069268,0.06133263,0.06978288,0.06895272,0.02809576,0.26187798,PiqIsmNlJGo
0.22103012,0.15892372,0.045745477,0.025042828,0.051355533,0.034812592,0.014577369,0.5680319,HkBHezHrXk4
0.2979469,0.111756824,0.05544599,0.020410068,0.032435216,0.020110317,0.034104515,0.3783544,c47SnqnFj6c
0.23488191,0.06568095,0.13115151,0.036606003,0.08586142,0.03251678,0.12631269,0.2877166,kKjJweLxMxk
0.41853386,0.59504056,0.21561703,0.077327415,0.117079526,0.09614259,0.21362646,0.30896756,KnVVvAyyXks
0.34819743,0.3464925,0.08303808,0.01609217,0.1260628,0.03634801,0.13565879,0.26319292,um6h1tZcnxI
0.23172429,0.10637301,0.05834865,0.028578654,0.060303766,0.04373352,0.05373499,0.26846713,BilSXcYHnUE
0.25633726,0.078852,0.025734086,0.021485927,0.027292699,0.018392434,0.042001735,0.23844247,V-hLUt-3z8E
0.19432846,0.117954396,0.07414713,0.031993233,0.044204082,0.03731307,0.036508016,0.17702465,CZnIweGi-go
0.45266783,0.29106295,0.1219779,0.092326105,0.16461514,0.13548894,0.1473238,0.43699953,pINpKmDM_yM
0.36653587,0.5191355,0.17715342,0.085267544,0.09589718,0.10572023,0.033246122,0.2099446,M93jBn6awHU
0.3078357,0.15926787,0.13316058,0.027636643,0.06097457,0.030699845,0.052136723,0.16364942,Ui_4qI2ereU
0.20607252,0.09799515,0.09058905,0.03263076,0.065836996,0.048101373,0.036851373,0.28369325,q7b7x6i8xII
0.25096497,0.22906044,0.07837122,0.029209135,0.06017627,0.0272605,0.04131502,0.21084937,AzK4LwBKGWs
0.30519956,0.034243375,0.025388198,0.00834081,0.032568604,0.0070010643,0.028267438,0.15606457,-4hj7fgs280
0.41158572,0.2705703,0.14770326,0.122323066,0.12594946,0.15032569,0.103539884,0.23828053,CqumUAcrtXE
0.3078061,0.28460348,0.17768246,0.026086444,0.07434667,0.04262757,0.055333257,0.22781885,zGyWBpMUIfY
0.2701031,0.20203881,0.07520442,0.1075629,0.060594235,0.08984275,0.03599298,0.23459035,bNe4dGye7-U
0.2564261,0.2606193,0.06904537,0.124975555,0.07248059,0.10782874,0.0825038,0.29836914,YxtXj6J1Q74
0.30531263,0.115958124,0.06771959,0.10632023,0.10976691,0.10513689,0.0741129,0.40042877,4R4Zh0r-K_k
0.18510984,0.028447535,0.035973217,0.018323198,0.039108545,0.013304592,0.011661896,0.22470355,NOZO7mJ7k8o
0.4534111,0.62583816,0.32045,0.08850838,0.32281044,0.20481923,0.07371333,0.13663958,PQwjOeH5mnc
0.20101812,0.10451332,0.07503386,0.027019724,0.0659277,0.029645601,0.06532243,0.41651833,SnrWCE2CmmY
0.22473651,0.3919394,0.06698691,0.0345479,0.07670281,0.05695976,0.09548495,0.3174089,E6yIxbsK5CM
