PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.3135428,0.06771983,0.15590395,0.11125194,0.086086385,0.5111941,0.18147448,0.0713502,tmQEBFYrEx0
0.54428095,0.28825936,0.41897476,0.22418514,0.21354432,0.2948031,0.7079002,0.40050435,a9YRQaIUNHY
0.24309935,0.034104515,0.073046334,0.039386306,0.033018246,0.039698176,0.26466438,0.05828907,AOwWXYfcrEc
0.41657212,0.09548495,0.06265738,0.054203168,0.079932906,0.21235704,0.21082893,0.064516574,GNI553Np__k
0.4175353,0.18647896,0.12859216,0.18714933,0.24661851,0.17149644,0.3421637,0.17551434,LU3afdtRCqE
0.37573966,0.14911842,0.10342656,0.038802158,0.12212178,0.3609796,0.17488556,0.042298887,N3zujKdhH0U
0.36807835,0.07251463,0.15551658,0.10214981,0.10282981,0.3649964,0.48236305,0.11536273,ExPt6yPfN_o
0.43858218,0.42234805,0.25835672,0.40874904,0.48355338,0.7590263,0.37854612,0.24610178,QQkID_o8U3k
0.32042176,0.11021292,0.20567265,0.064287364,0.15967251,0.16626814,0.15111832,0.05260555,AFPIZrd3iF8
0.34059742,0.12051678,0.11514871,0.09145616,0.2459174,0.08014925,0.011363651,0.07169072,fbWq1FXdhtg
0.3403836,0.21186037,0.42062616,0.20799513,0.35999453,0.2905412,0.5680319,0.09941482,gyzbHFYs3pg
0.34245867,0.09548495,0.2620954,0.093666464,0.1984828,0.6059012,0.10659702,0.030782007,DC9cojCs-nk
0.36322775,0.06971766,0.10413253,0.08608598,0.1438695,0.20011556,0.26536068,0.08536042,43diWYSoERw
0.31219196,0.020685982,0.056961156,0.09355987,0.19399689,0.085126236,0.43103063,0.088983275,Emo_pQgwfkk
0.44184753,0.1539292,0.19688992,0.1647102,0.17560552,0.6114422,0.062293705,0.09365005,sO5h_M6dn6M
